dataset,split,class_name,method,path,frame_count,planned_frames,detected_frames,detection_rate,median_box_width_px,median_score,median_centre_step_px,max_centre_step_px
DFD,test,real,real,DFD_original sequences/01__exit_phone_room.mp4,305,77,54,0.7012987012987013,132.0,1.0,0.0,201.55892944335938
DFD,test,real,real,DFD_original sequences/01__hugging_happy.mp4,787,198,177,0.8939393939393939,225.0,1.0,24.0,196.37973022460938
DFD,test,real,real,DFD_original sequences/01__kitchen_pan.mp4,560,141,134,0.950354609929078,273.0,1.0,27.536338806152344,1788.4478759765625
DFD,test,real,real,DFD_original sequences/01__kitchen_still.mp4,800,201,201,1.0,273.0,1.0,0.0,42.42640686035156
DFD,test,real,real,DFD_original sequences/01__meeting_serious.mp4,1045,262,262,1.0,132.0,1.0,0.0,891.102294921875
DFD,test,real,real,DFD_original sequences/01__outside_talking_pan_laughing.mp4,626,158,149,0.9430379746835443,189.0,1.0,21.0,104.13932800292969
DFD,test,real,real,DFD_original sequences/01__outside_talking_still_laughing.mp4,851,214,212,0.9906542056074766,189.0,1.0,9.124143600463867,193.6104278564453
DFD,test,real,real,DFD_original sequences/01__podium_speech_happy.mp4,902,227,227,1.0,189.0,1.0,0.0,42.0
DFD,test,real,real,DFD_original sequences/01__secret_conversation.mp4,965,242,235,0.9710743801652892,159.0,1.0,0.0,765.1484985351562
DFD,test,real,real,DFD_original sequences/01__talking_against_wall.mp4,860,216,216,1.0,270.0,1.0,0.0,30.372684478759766
DFD,test,real,real,DFD_original sequences/01__talking_angry_couch.mp4,1489,373,373,1.0,228.0,1.0,3.8242645263671875,101.86756134033203
DFD,test,real,real,DFD_original sequences/01__walk_down_hall_angry.mp4,371,94,55,0.5851063829787234,132.0,1.0,0.0,195.0
DFD,test,real,real,DFD_original sequences/01__walking_and_outside_surprised.mp4,1085,272,272,1.0,273.0,1.0,52.58564376831055,1221.6236572265625
DFD,test,real,real,DFD_original sequences/01__walking_down_indoor_hall_disgust.mp4,834,210,208,0.9904761904761905,273.0,1.0,61.55485534667969,1167.6514892578125
DFD,test,real,real,DFD_original sequences/01__walking_down_street_outside_angry.mp4,610,154,107,0.6948051948051948,132.0,1.0,0.0,167.5238800048828
DFD,test,real,real,DFD_original sequences/01__walking_outside_cafe_disgusted.mp4,306,78,66,0.8461538461538461,159.0,1.0,0.0,199.5
DFD,train,real,real,DFD_original sequences/02__exit_phone_room.mp4,364,92,66,0.717391304347826,132.0,1.0,0.0,127.7380142211914
DFD,train,real,real,DFD_original sequences/02__hugging_happy.mp4,805,202,188,0.9306930693069307,225.0,1.0,16.56804084777832,133.97947692871094
DFD,train,real,real,DFD_original sequences/02__kitchen_pan.mp4,591,149,142,0.9530201342281879,228.0,1.0,21.0,75.0
DFD,train,real,real,DFD_original sequences/02__kitchen_still.mp4,855,215,215,1.0,228.0,1.0,0.0,37.04726791381836
DFD,train,real,real,DFD_original sequences/02__meeting_serious.mp4,985,247,247,1.0,132.0,1.0,0.0,444.2052001953125
DFD,train,real,real,DFD_original sequences/02__outside_talking_pan_laughing.mp4,661,166,161,0.9698795180722891,159.0,1.0,20.919334411621094,64.76110076904297
DFD,train,real,real,DFD_original sequences/02__outside_talking_still_laughing.mp4,820,206,206,1.0,159.0,1.0,18.0,56.46459197998047
DFD,train,real,real,DFD_original sequences/02__podium_speech_happy.mp4,1076,270,270,1.0,159.0,1.0,6.7082037925720215,37.58989334106445
DFD,train,real,real,DFD_original sequences/02__secret_conversation.mp4,1020,256,235,0.91796875,159.0,1.0,0.0,55.03181076049805
DFD,train,real,real,DFD_original sequences/02__talking_against_wall.mp4,990,249,249,1.0,270.0,1.0,0.0,30.0
DFD,train,real,real,DFD_original sequences/02__talking_angry_couch.mp4,1300,326,322,0.9877300613496932,228.0,1.0,7.648529052734375,84.0
DFD,train,real,real,DFD_original sequences/02__walk_down_hall_angry.mp4,405,102,53,0.5196078431372549,159.0,1.0,0.0,148.5
DFD,train,real,real,DFD_original sequences/02__walking_and_outside_surprised.mp4,1085,272,272,1.0,273.0,1.0,52.58564376831055,1221.6236572265625
DFD,train,real,real,DFD_original sequences/02__walking_down_indoor_hall_disgust.mp4,823,207,207,1.0,273.0,1.0,61.55485534667969,1167.6514892578125
DFD,train,real,real,DFD_original sequences/02__walking_down_street_outside_angry.mp4,744,187,121,0.6470588235294118,132.0,1.0,0.0,177.5647735595703
