dataset,split,class_name,label,path,verdict,ffmpeg_messages,first_message,decode_seconds
DFD,test,real,1,DFD_original sequences/01__exit_phone_room.mp4,ok,0,,32.91
DFD,test,real,1,DFD_original sequences/01__hugging_happy.mp4,ok,0,,37.16
DFD,test,real,1,DFD_original sequences/01__kitchen_pan.mp4,ok,0,,35.41
DFD,test,real,1,DFD_original sequences/01__kitchen_still.mp4,ok,0,,37.08
DFD,test,real,1,DFD_original sequences/01__meeting_serious.mp4,ok,0,,38.09
DFD,test,real,1,DFD_original sequences/01__outside_talking_pan_laughing.mp4,ok,0,,36.07
DFD,test,real,1,DFD_original sequences/01__outside_talking_still_laughing.mp4,ok,0,,37.04
DFD,test,real,1,DFD_original sequences/01__podium_speech_happy.mp4,ok,0,,37.04
DFD,test,real,1,DFD_original sequences/01__secret_conversation.mp4,ok,0,,37.08
DFD,test,real,1,DFD_original sequences/01__talking_against_wall.mp4,ok,0,,36.96
DFD,test,real,1,DFD_original sequences/01__talking_angry_couch.mp4,ok,0,,13.23
DFD,test,real,1,DFD_original sequences/01__walk_down_hall_angry.mp4,ok,0,,3.62
DFD,test,real,1,DFD_original sequences/01__walking_and_outside_surprised.mp4,ok,0,,11.73
DFD,test,real,1,DFD_original sequences/01__walking_down_indoor_hall_disgust.mp4,ok,0,,8.09
DFD,test,real,1,DFD_original sequences/01__walking_down_street_outside_angry.mp4,ok,0,,4.37
DFD,test,real,1,DFD_original sequences/01__walking_outside_cafe_disgusted.mp4,ok,0,,2.83
DFD,train,real,1,DFD_original sequences/02__exit_phone_room.mp4,ok,0,,3.41
DFD,train,real,1,DFD_original sequences/02__hugging_happy.mp4,ok,0,,6.55
DFD,train,real,1,DFD_original sequences/02__kitchen_pan.mp4,ok,0,,6.1
DFD,train,real,1,DFD_original sequences/02__kitchen_still.mp4,ok,0,,7.6
DFD,train,real,1,DFD_original sequences/02__meeting_serious.mp4,ok,0,,7.68
DFD,train,real,1,DFD_original sequences/02__outside_talking_pan_laughing.mp4,ok,0,,7.11
DFD,train,real,1,DFD_original sequences/02__outside_talking_still_laughing.mp4,ok,0,,7.23
DFD,train,real,1,DFD_original sequences/02__podium_speech_happy.mp4,ok,0,,8.29
DFD,train,real,1,DFD_original sequences/02__secret_conversation.mp4,ok,0,,8.52
DFD,train,real,1,DFD_original sequences/02__talking_against_wall.mp4,ok,0,,7.26
DFD,train,real,1,DFD_original sequences/02__talking_angry_couch.mp4,ok,0,,11.79
DFD,train,real,1,DFD_original sequences/02__walk_down_hall_angry.mp4,ok,0,,3.91
DFD,train,real,1,DFD_original sequences/02__walking_and_outside_surprised.mp4,ok,0,,11.91
DFD,train,real,1,DFD_original sequences/02__walking_down_indoor_hall_disgust.mp4,ok,0,,9.33
DFD,train,real,1,DFD_original sequences/02__walking_down_street_outside_angry.mp4,ok,0,,7.21
DFD,train,real,1,DFD_original sequences/02__walking_outside_cafe_disgusted.mp4,ok,0,,4.98
DFD,train,real,1,DFD_original sequences/03__exit_phone_room.mp4,ok,0,,5.79
DFD,train,real,1,DFD_original sequences/03__hugging_happy.mp4,ok,0,,8.17
DFD,train,real,1,DFD_original sequences/03__kitchen_pan.mp4,ok,0,,5.72
DFD,train,real,1,DFD_original sequences/03__kitchen_still.mp4,ok,0,,7.28
DFD,train,real,1,DFD_original sequences/03__meeting_serious.mp4,ok,0,,9.06
DFD,train,real,1,DFD_original sequences/03__outside_talking_pan_laughing.mp4,ok,0,,6.85
DFD,train,real,1,DFD_original sequences/03__outside_talking_still_laughing.mp4,ok,0,,7.67
DFD,train,real,1,DFD_original sequences/03__podium_speech_happy.mp4,ok,0,,7.2
DFD,train,real,1,DFD_original sequences/03__secret_conversation.mp4,ok,0,,7.51
DFD,train,real,1,DFD_original sequences/03__talking_against_wall.mp4,ok,0,,7.1
DFD,train,real,1,DFD_original sequences/03__talking_angry_couch.mp4,ok,0,,12.69
DFD,train,real,1,DFD_original sequences/03__walk_down_hall_angry.mp4,ok,0,,4.38
DFD,train,real,1,DFD_original sequences/03__walking_and_outside_surprised.mp4,ok,0,,13.54
DFD,train,real,1,DFD_original sequences/03__walking_down_indoor_hall_disgust.mp4,ok,0,,14.7
DFD,train,real,1,DFD_original sequences/03__walking_down_street_outside_angry.mp4,ok,0,,10.21
DFD,train,real,1,DFD_original sequences/03__walking_outside_cafe_disgusted.mp4,ok,0,,6.92
DFD,test,real,1,DFD_original sequences/04__exit_phone_room.mp4,ok,0,,3.88
DFD,test,real,1,DFD_original sequences/04__kitchen_pan.mp4,ok,0,,5.78
DFD,test,real,1,DFD_original sequences/04__kitchen_still.mp4,ok,0,,7.57
DFD,test,real,1,DFD_original sequences/04__outside_talking_pan_laughing.mp4,ok,0,,7.11
DFD,test,real,1,DFD_original sequences/04__outside_talking_still_laughing.mp4,ok,0,,6.71
DFD,test,real,1,DFD_original sequences/04__podium_speech_happy.mp4,ok,0,,7.63
DFD,test,real,1,DFD_original sequences/04__secret_conversation.mp4,ok,0,,7.5
DFD,test,real,1,DFD_original sequences/04__talking_against_wall.mp4,ok,0,,6.87
DFD,test,real,1,DFD_original sequences/04__talking_angry_couch.mp4,ok,0,,12.64
DFD,test,real,1,DFD_original sequences/04__walk_down_hall_angry.mp4,ok,0,,3.77
DFD,test,real,1,DFD_original sequences/04__walking_down_street_outside_angry.mp4,ok,0,,4.93
DFD,test,real,1,DFD_original sequences/04__walking_outside_cafe_disgusted.mp4,ok,0,,4.68
DFD,val,real,1,DFD_original sequences/05__exit_phone_room.mp4,ok,0,,5.28
DFD,val,real,1,DFD_original sequences/05__hugging_happy.mp4,ok,0,,8.84
DFD,val,real,1,DFD_original sequences/05__kitchen_pan.mp4,ok,0,,6.95
DFD,val,real,1,DFD_original sequences/05__kitchen_still.mp4,ok,0,,6.97
DFD,val,real,1,DFD_original sequences/05__outside_talking_pan_laughing.mp4,ok,0,,6.09
DFD,val,real,1,DFD_original sequences/05__outside_talking_still_laughing.mp4,ok,0,,7.41
DFD,val,real,1,DFD_original sequences/05__podium_speech_happy.mp4,ok,0,,7.68
DFD,val,real,1,DFD_original sequences/05__talking_against_wall.mp4,ok,0,,6.02
DFD,val,real,1,DFD_original sequences/05__walk_down_hall_angry.mp4,ok,0,,5.0
DFD,val,real,1,DFD_original sequences/05__walking_down_street_outside_angry.mp4,ok,0,,7.31
DFD,val,real,1,DFD_original sequences/05__walking_outside_cafe_disgusted.mp4,ok,0,,5.24
DFD,train,real,1,DFD_original sequences/06__exit_phone_room.mp4,ok,0,,2.41
DFD,train,real,1,DFD_original sequences/06__hugging_happy.mp4,ok,0,,7.25
DFD,train,real,1,DFD_original sequences/06__kitchen_pan.mp4,ok,0,,5.73
DFD,train,real,1,DFD_original sequences/06__kitchen_still.mp4,ok,0,,7.21
DFD,train,real,1,DFD_original sequences/06__outside_talking_pan_laughing.mp4,ok,0,,5.16
