dataset,path,method,target_id,donor_id,label_real,anomaly_score,predictive_mean,predictive_std,embedding_norm,fps,face_any_miss,face_miss_fraction,center_x_jitter,center_y_jitter,width_jitter,height_jitter
CelebDFv3,/root/Datasets/CelebDFv3/CelebDFv3/REAL/Real_WEB/id11_0000.mp4,real/Real_WEB,id11,,1,0.5519290566444397,-0.5519290566444397,0.0,22.33568000793457,30.0,1.0,0.109375,0.015553150326013565,0.006068959832191467,0.004013721365481615,0.0036123490426689386
CelebDFv3,/root/Datasets/CelebDFv3/CelebDFv3/REAL/Real_WEB/id11_0001.mp4,real/Real_WEB,id11,,1,-2.787186622619629,2.787186622619629,0.0,37.6205940246582,30.0,0.0,0.0,0.0025532448198646307,0.005718165542930365,0.0024785399436950684,0.004649740643799305
CelebDFv3,/root/Datasets/CelebDFv3/CelebDFv3/REAL/Real_WEB/id11_0002.mp4,real/Real_WEB,id11,,1,1.0156307220458984,-1.0156307220458984,0.0,25.316078186035156,30.0,0.0,0.0,0.00602788245305419,0.006288801785558462,0.0026738829910755157,0.005165942013263702
CelebDFv3,/root/Datasets/CelebDFv3/CelebDFv3/REAL/Real_WEB/id11_0003.mp4,real/Real_WEB,id11,,1,-4.4974365234375,4.4974365234375,0.0,45.328670501708984,30.0,0.0,0.0,0.005274612456560135,0.009794707410037518,0.0026177114341408014,0.004973652306944132
CelebDFv3,/root/Datasets/CelebDFv3/CelebDFv3/REAL/Real_WEB/id11_0004.mp4,real/Real_WEB,id11,,1,-1.0089031457901,1.0089031457901,0.0,34.59333801269531,30.0,1.0,0.0625,0.002075161086395383,0.0035064476542174816,0.001998987514525652,0.003798076417297125
CelebDFv3,/root/Datasets/CelebDFv3/CelebDFv3/REAL/Real_WEB/id11_0005.mp4,real/Real_WEB,id11,,1,-2.444791316986084,2.444791316986084,0.0,32.53497314453125,30.0,0.0,0.0,0.008641221560537815,0.014315299689769745,0.0021852566860616207,0.0041519878432154655
CelebDFv3,/root/Datasets/CelebDFv3/CelebDFv3/REAL/Real_WEB/id11_0006.mp4,real/Real_WEB,id11,,1,1.9570772647857666,-1.9570772647857666,0.0,35.59873580932617,30.0,0.0,0.0,0.0037589576095342636,0.0073914253152906895,0.002072385046631098,0.003937531728297472
CelebDFv3,/root/Datasets/CelebDFv3/CelebDFv3/REAL/Real_WEB/id11_0007.mp4,real/Real_WEB,id11,,1,0.35006532073020935,-0.35006532073020935,0.0,31.796533584594727,30.0,0.0,0.0,0.007426882162690163,0.02516827918589115,0.009798010811209679,0.018616219982504845
CelebDFv3,/root/Datasets/CelebDFv3/CelebDFv3/REAL/Real_WEB/id11_0008.mp4,real/Real_WEB,id11,,1,3.9053988456726074,-3.9053988456726074,0.0,18.611106872558594,30.0,0.0,0.0,0.011014883406460285,0.07583392411470413,0.03805355727672577,0.07230176031589508
CelebDFv3,/root/Datasets/CelebDFv3/CelebDFv3/REAL/Real_WEB/id11_0009.mp4,real/Real_WEB,id11,,1,-2.2335119247436523,2.2335119247436523,0.0,30.41650390625,30.0,0.0,0.0,0.002752471249550581,0.004312052391469479,0.0012278197100386024,0.002332857344299555
CelebDFv3,/root/Datasets/CelebDFv3/CelebDFv3/REAL/Real_WEB/id11_0010.mp4,real/Real_WEB,id11,,1,0.6745274662971497,-0.6745274662971497,0.0,25.122154235839844,30.0,0.0,0.0,0.014869749546051025,0.01142584253102541,0.006490970961749554,0.01007398683577776
CelebDFv3,/root/Datasets/CelebDFv3/CelebDFv3/REAL/Real_WEB/id22_0000.mp4,real/Real_WEB,id22,,1,0.5029826164245605,-0.5029826164245605,0.0,27.970741271972656,30.0,1.0,0.21875,0.021493272855877876,0.02175121195614338,0.017424646764993668,0.030969014391303062
CelebDFv3,/root/Datasets/CelebDFv3/CelebDFv3/REAL/Real_WEB/id22_0001.mp4,real/Real_WEB,id22,,1,0.7173280119895935,-0.7173280119895935,0.0,22.726482391357422,30.0,0.0,0.0,0.015188435092568398,0.027592256665229797,0.01866757683455944,0.03317808732390404
CelebDFv3,/root/Datasets/CelebDFv3/CelebDFv3/REAL/Real_WEB/id22_0002.mp4,real/Real_WEB,id22,,1,5.269623756408691,-5.269623756408691,0.0,23.192018508911133,30.0,0.0,0.0,0.010202808305621147,0.020956270396709442,0.0062641664408147335,0.011133371852338314
CelebDFv3,/root/Datasets/CelebDFv3/CelebDFv3/REAL/Real_WEB/id22_0003.mp4,real/Real_WEB,id22,,1,3.59389328956604,-3.59389328956604,0.0,58.0402717590332,30.0,1.0,0.171875,0.010803963989019394,0.009581072255969048,0.01330376323312521,0.02364492416381836
CelebDFv3,/root/Datasets/CelebDFv3/CelebDFv3/REAL/Real_WEB/id22_0004.mp4,real/Real_WEB,id22,,1,2.6099562644958496,-2.6099562644958496,0.0,37.9690055847168,30.0,0.0,0.0,0.004564889241009951,0.002381127793341875,0.001241007586941123,0.0022056561429053545
CelebDFv3,/root/Datasets/CelebDFv3/CelebDFv3/REAL/Real_WEB/id22_0005.mp4,real/Real_WEB,id22,,1,1.4441992044448853,-1.4441992044448853,0.0,35.00712966918945,30.0,0.0,0.0,0.004615583457052708,0.0030537357088178396,0.0018255665199831128,0.0032445997931063175
CelebDFv3,/root/Datasets/CelebDFv3/CelebDFv3/REAL/Real_WEB/id22_0006.mp4,real/Real_WEB,id22,,1,3.9045448303222656,-3.9045448303222656,0.0,32.33042526245117,30.0,0.0,0.0,0.006997562013566494,0.0037509743124246597,0.0017076818039640784,0.0030350813176482916
CelebDFv3,/root/Datasets/CelebDFv3/CelebDFv3/REAL/Real_WEB/id22_0007.mp4,real/Real_WEB,id22,,1,-6.942556381225586,6.942556381225586,0.0,52.72423553466797,30.0,0.0,0.0,0.005820303224027157,0.006181146949529648,0.003441375680267811,0.0061163948848843575
CelebDFv3,/root/Datasets/CelebDFv3/CelebDFv3/REAL/Real_WEB/id22_0008.mp4,real/Real_WEB,id22,,1,-2.951551914215088,2.951551914215088,0.0,39.81423568725586,30.0,0.0,0.0,0.004792308434844017,0.005672135390341282,0.005392628721892834,0.009584378451108932
CelebDFv3,/root/Datasets/CelebDFv3/CelebDFv3/REAL/Real_WEB/id22_0009.mp4,real/Real_WEB,id22,,1,-0.7181748151779175,0.7181748151779175,0.0,24.991914749145508,30.0,1.0,0.203125,0.0173209086060524,0.013233386911451817,0.0032120414543896914,0.005708796437829733
CelebDFv3,/root/Datasets/CelebDFv3/CelebDFv3/REAL/Real_WEB/id23_0000.mp4,real/Real_WEB,id23,,1,2.5461585521698,-2.5461585521698,0.0,24.44681739807129,30.0,0.0,0.0,0.003256944939494133,0.0027584179770201445,0.001964332303032279,0.0034912293776869774
CelebDFv3,/root/Datasets/CelebDFv3/CelebDFv3/REAL/Real_WEB/id23_0001.mp4,real/Real_WEB,id23,,1,1.9193572998046875,-1.9193572998046875,0.0,31.065019607543945,30.0,0.0,0.0,0.003517300123348832,0.004770450294017792,0.002034479519352317,0.0036159022711217403
CelebDFv3,/root/Datasets/CelebDFv3/CelebDFv3/REAL/Real_WEB/id23_0002.mp4,real/Real_WEB,id23,,1,0.6229584217071533,-0.6229584217071533,0.0,24.086997985839844,30.0,0.0,0.0,0.021099114790558815,0.01997349038720131,0.007196127902716398,0.012789756059646606
CelebDFv3,/root/Datasets/CelebDFv3/CelebDFv3/REAL/Real_WEB/id23_0003.mp4,real/Real_WEB,id23,,1,0.5391015410423279,-0.5391015410423279,0.0,29.377979278564453,30.0,0.0,0.0,0.005806191358715296,0.005101244896650314,0.0018654621671885252,0.0033155062701553106
CelebDFv3,/root/Datasets/CelebDFv3/CelebDFv3/REAL/Real_WEB/id23_0004.mp4,real/Real_WEB,id23,,1,1.9290471076965332,-1.9290471076965332,0.0,26.116437911987305,30.0,1.0,0.015625,0.023186765611171722,0.021285394206643105,0.014527094550430775,0.01958252303302288
CelebDFv3,/root/Datasets/CelebDFv3/CelebDFv3/REAL/Real_WEB/id23_0005.mp4,real/Real_WEB,id23,,1,2.290076494216919,-2.290076494216919,0.0,26.202795028686523,30.0,0.0,0.0,0.008545164950191975,0.0035630431957542896,0.0038598428945988417,0.007901021279394627
