dataset,path,method,target_id,donor_id,label_real,anomaly_score,predictive_mean,predictive_std,embedding_norm,fps,face_any_miss,face_miss_fraction,center_x_jitter,center_y_jitter,width_jitter,height_jitter
DFD,/root/Datasets/DFD-Kaggle/DFD_original sequences/01__exit_phone_room.mp4,real,01,,1,-11.614261627197266,11.614261627197266,0.0,186.0961151123047,24.0,1.0,0.0625,0.014849362894892693,0.012469432316720486,0.006526343058794737,0.011602386832237244
DFD,/root/Datasets/DFD-Kaggle/DFD_original sequences/01__hugging_happy.mp4,real,01,,1,-7.792115688323975,7.792115688323975,0.0,144.59991455078125,24.0,1.0,0.1875,0.012798083014786243,0.040914881974458694,0.012344695627689362,0.021946126595139503
DFD,/root/Datasets/DFD-Kaggle/DFD_original sequences/01__kitchen_pan.mp4,real,01,,1,-7.033231735229492,7.033231735229492,0.0,260.5693664550781,24.0,1.0,0.125,0.04151878505945206,0.009645636193454266,0.011105804704129696,0.019743654876947403
DFD,/root/Datasets/DFD-Kaggle/DFD_original sequences/01__kitchen_still.mp4,real,01,,1,-7.550600051879883,7.550600051879883,0.0,276.4676208496094,24.0,0.0,0.0,0.005718881729990244,0.004553566221147776,0.004824284464120865,0.008576505817472935
DFD,/root/Datasets/DFD-Kaggle/DFD_original sequences/01__meeting_serious.mp4,real,01,,1,-8.424205780029297,8.424205780029297,0.0,192.44053649902344,24.0,0.0,0.0,0.0012053928803652525,0.0016524884849786758,0.0011817817576229572,0.0021009452175348997
DFD,/root/Datasets/DFD-Kaggle/DFD_original sequences/01__outside_talking_pan_laughing.mp4,real,01,,1,-6.247838497161865,6.247838497161865,0.0,179.1569061279297,24.0,1.0,0.1875,0.00783568061888218,0.01800888031721115,0.002177408430725336,0.003870948450639844
DFD,/root/Datasets/DFD-Kaggle/DFD_original sequences/01__outside_talking_still_laughing.mp4,real,01,,1,-5.365854263305664,5.365854263305664,0.0,175.01780700683594,24.0,1.0,0.046875,0.0031107747927308083,0.007863075472414494,0.003971949685364962,0.007061243522912264
DFD,/root/Datasets/DFD-Kaggle/DFD_original sequences/01__podium_speech_happy.mp4,real,01,,1,-17.00356674194336,17.00356674194336,0.0,290.1931457519531,24.0,0.0,0.0,0.0007819564780220389,0.002557931235060096,0.0013938994379714131,0.002478043781593442
DFD,/root/Datasets/DFD-Kaggle/DFD_original sequences/01__secret_conversation.mp4,real,01,,1,-8.957418441772461,8.957418441772461,0.0,405.3161926269531,24.0,1.0,0.359375,0.03209923207759857,0.016794264316558838,0.002883701352402568,0.005126579664647579
DFD,/root/Datasets/DFD-Kaggle/DFD_original sequences/01__talking_against_wall.mp4,real,01,,1,-12.595190048217773,12.595190048217773,0.0,278.6383361816406,24.0,0.0,0.0,0.0006457071285694838,0.0012369418982416391,0.0014148247428238392,0.0025152440648525953
