epoch,train_loss,skipped_training_clips,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean,stage1_saturated,stage2_saturated,stage3_saturated,stage3_output_std
1,1.843257410293613,0,9.5e-05,0.5757245317804708,0.3120665742024965,0.5412910043393214,0.5757245317804708,0.5757245317804708,0.4475965105560177,0.13143872113676733,,,,,,,
2,1.2647315790007856,0,9.025e-05,0.6415675517683297,0.2524271844660194,0.5031027272522877,0.6415675517683297,0.6415675517683297,0.39513681228500125,0.0497335701598579,,,,,,,
3,1.2935976654443087,0,8.573749999999999e-05,0.6615441688962835,0.29819694868238555,0.5324100096679182,0.6615441688962835,0.6615441688962835,0.3664927940283742,0.11012433392539965,,,,,,,
4,1.354440888610554,0,8.145062499999998e-05,0.5881017154934011,0.260748959778086,0.5084313240551296,0.5881017154934011,0.5881017154934011,0.451148908424579,0.06571936056838366,,,,,,,
5,1.3070045848755953,0,7.737809374999998e-05,0.5706994626436135,0.24549237170596394,0.4986622299165861,0.5706994626436135,0.5706994626436135,0.4458203116217371,0.03907637655417407,,,,,,,
6,1.283043297704307,0,7.350918906249998e-05,0.5769274006790026,0.27323162274618584,0.5164242192593924,0.5769274006790026,0.5769274006790026,0.44354385412685204,0.0763765541740675,,,,,,,
7,1.3043433014980048,0,6.983372960937497e-05,0.6230748476740787,0.31761442441054094,0.5448434022078827,0.6230748476740787,0.6230748476740787,0.4117352789081997,0.12966252220248667,,,,,,,
8,1.2863416587476901,0,6.634204312890622e-05,0.6007374598106887,0.3092926490984743,0.5395148054050408,0.6007374598106887,0.6007374598106887,0.43416260089484454,0.11900532859680284,,,,,,,
9,1.2758748902157586,0,6.30249409724609e-05,0.6238505294871506,0.31900138696255204,0.545731501675023,0.6238505294871506,0.6238505294871506,0.43188614339995957,0.0905861456483126,,,,,,,
10,1.2567354057426323,0,5.987369392383786e-05,0.6088540144344268,0.29680998613037446,0.5315219102007779,0.6088540144344268,0.6088540144344268,0.4502608089574387,0.108348134991119,,,,,,,
11,1.2425805869353521,0,5.688000922764596e-05,0.5933741034692088,0.2871012482662968,0.5253052139307957,0.5933741034692088,0.5933741034692088,0.44354385412685204,0.0994671403197158,,,,,,,
12,1.2715575198415612,0,5.4036008766263664e-05,0.6318096993951929,0.3356449375866852,0.5563886952807069,0.6318096993951929,0.6318096993951929,0.4233929896350923,0.16341030195381884,,,,,,,
13,1.2748332437774448,0,5.133420832795048e-05,0.6165546237381119,0.27323162274618584,0.5164242192593924,0.6165546237381119,0.6165546237381119,0.4386030982305461,0.08170515097690942,,,,,,,
14,1.2385362259825135,0,4.876749791155295e-05,0.5862805494974932,0.27739251040221913,0.5190885176608134,0.5862805494974932,0.5862805494974932,0.4484846100231581,0.06927175843694494,,,,,,,
15,1.2660862864924534,0,4.6329123015975305e-05,0.6146884906805765,0.2857142857142857,0.5244171144636554,0.6146884906805765,0.6146884906805765,0.4233929896350923,0.08348134991119005,,,,,,,
16,1.2292735991701775,0,4.4012666865176535e-05,0.6110011916271332,0.3245492371705964,0.5492838995435843,0.6110011916271332,0.6110011916271332,0.4368268992962655,0.12433392539964476,,,,,,,
17,1.2239365853221436,0,4.181203352191771e-05,0.6123726870067676,0.3231622746185853,0.548395800076444,0.6123726870067676,0.6123726870067676,0.43010994446567885,0.12788632326820604,,,,,,,
