epoch,train_loss,skipped_training_clips,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean,stage1_saturated,stage2_saturated,stage3_saturated,stage3_output_std
1,1.705197413667137,0,2.8499999999999998e-05,0.6096515486725664,0.2736,0.5359513274336283,0.6096515486725664,0.6096515486725664,0.4512496543141593,0.12109375,,,,,,,
2,1.6373774465020576,0,2.7074999999999997e-05,0.5758434734513274,0.224,0.5056778899336283,0.5758434734513274,0.5758434734513274,0.4679117118362832,0.0625,,,,,,,
3,1.4320148351953748,0,2.5721249999999997e-05,0.6114491150442478,0.2208,0.5037247649336283,0.6114491150442478,0.6114491150442478,0.3963806692477876,0.056640625,,,,,,,
4,1.4478607113168858,0,2.4435187499999995e-05,0.5934388827433629,0.2624,0.5291153899336283,0.5934388827433629,0.5934388827433629,0.4345875967920354,0.103515625,,,,,,,
5,1.2304320307665455,0,2.3213428124999993e-05,0.6338668418141593,0.216,0.5007950774336283,0.6338668418141593,0.6338668418141593,0.42332688053097345,0.048828125,,,,,,,
6,1.3011830876771537,0,2.2052756718749993e-05,0.6152862278761062,0.1968,0.48907632743362833,0.6152862278761062,0.6152862278761062,0.40666482300884954,0.021484375,,,,,,,
7,1.224273176998957,0,2.0950118882812494e-05,0.6764726216814159,0.28,0.5398575774336283,0.6764726216814159,0.6764726216814159,0.3806951742256637,0.12890625,,,,,,,
8,1.159066487306006,0,1.9902612938671867e-05,0.6395706581858407,0.2304,0.5095841399336283,0.6395706581858407,0.6395706581858407,0.4130427267699115,0.048828125,,,,,,,
9,1.1097285022564627,0,1.890748229173827e-05,0.6322766869469026,0.1856,0.48224038993362833,0.6322766869469026,0.6322766869469026,0.38804964048672563,0.0078125,,,,,,,
10,1.1263068806256673,0,1.7962108177151358e-05,0.6776825221238938,0.2192,0.5027482024336283,0.6776825221238938,0.6776825221238938,0.3650096792035398,0.05078125,,,,,,,
11,1.1442635355570596,0,1.7064002768293788e-05,0.6470374723451329,0.192,0.48614663993362833,0.6470374723451329,0.6470374723451329,0.38609651548672563,0.0234375,,,,,,,
12,1.0465986852207034,0,1.6210802629879097e-05,0.6585833794247787,0.2528,0.5232560149336283,0.6585833794247787,0.6585833794247787,0.40373513550884954,0.09375,,,,,,,
13,1.1152447920233661,0,1.540026249838514e-05,0.6871888827433629,0.2608,0.5281388274336283,0.6871888827433629,0.6871888827433629,0.3527724004424779,0.109375,,,,,,,
14,1.1547812887924491,0,1.4630249373465883e-05,0.7011027378318584,0.2816,0.5408341399336283,0.7011027378318584,0.7011027378318584,0.3704110204646018,0.125,,,,,,,
15,1.0676260085537257,0,1.3898736904792588e-05,0.6769047289823009,0.2848,0.5427872649336283,0.6769047289823009,0.6769047289823009,0.3713875829646018,0.126953125,,,,,,,
16,1.0453264652851564,0,1.3203800059552958e-05,0.667484789823009,0.2368,0.5134903899336283,0.667484789823009,0.667484789823009,0.3752938329646018,0.078125,,,,,,,
17,0.9954638626989603,0,1.254361005657531e-05,0.6814159292035398,0.2272,0.5076310149336283,0.6814159292035398,0.6814159292035398,0.3743172704646018,0.0625,,,,,,,
18,1.0239624115178019,0,1.1916429553746543e-05,0.6524128871681416,0.2096,0.49688882743362833,0.6524128871681416,0.6524128871681416,0.3826482992256637,0.03515625,,,,,,,
19,1.1315342166605549,0,1.1320608076059215e-05,0.6842332688053097,0.2368,0.5134903899336283,0.6842332688053097,0.6842332688053097,0.3463944966814159,0.060546875,,,,,,,
20,1.031737086699282,0,1.0754577672256254e-05,0.6782701880530974,0.2416,0.5164200774336283,0.6782701880530974,0.6782701880530974,0.39097932798672563,0.0859375,,,,,,,
21,1.1117270798448655,0,1.021684878864344e-05,0.6697144634955752,0.2096,0.49688882743362833,0.6697144634955752,0.6697144634955752,0.3806951742256637,0.03515625,,,,,,,
22,1.0440156499519269,0,9.706006349211269e-06,0.6576500276548672,0.2496,0.5213028899336283,0.6576500276548672,0.6576500276548672,0.38707307798672563,0.091796875,,,,,,,
23,1.0064993492569652,0,9.220706031750704e-06,0.6342298119469026,0.2272,0.5076310149336283,0.6342298119469026,0.6342298119469026,0.40959451050884954,0.041015625,,,,,,,
24,0.986535398020682,0,8.759670730163168e-06,0.6807936946902655,0.2656,0.5310685149336283,0.6807936946902655,0.6807936946902655,0.3826482992256637,0.11328125,,,,,,,
25,1.0309916637952228,0,8.32168719365501e-06,0.6605710730088495,0.2464,0.5193497649336283,0.6605710730088495,0.6605710730088495,0.3758123617256637,0.060546875,,,,,,,
26,0.9616932206697227,0,7.905602833972258e-06,0.6729293418141593,0.2272,0.5076310149336283,0.6729293418141593,0.6729293418141593,0.3640331167035398,0.037109375,,,,,,,
27,0.9645620792483478,0,7.510322692273645e-06,0.691890210176991,0.2272,0.5076310149336283,0.691890210176991,0.691890210176991,0.336110342920354,0.06640625,,,,,,,
28,0.9657477279045132,0,7.134806557659962e-06,0.6591537610619469,0.2432,0.5173966399336283,0.6591537610619469,0.6591537610619469,0.3777654867256637,0.060546875,,,,,,,
29,0.9510180743835772,0,6.778066229776964e-06,0.6571314988938053,0.2656,0.5310685149336283,0.6571314988938053,0.6571314988938053,0.3993103567477876,0.056640625,,,,,,,
30,0.9555614064367968,0,6.439162918288115e-06,0.6703885508849556,0.2752,0.5369278899336283,0.6703885508849556,0.6703885508849556,0.3983337942477876,0.123046875,,,,,,,
