epoch,train_loss,skipped_training_clips,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean,stage1_saturated,stage2_saturated,stage3_saturated,stage3_output_std
1,0.9555990813363824,0,2.8499999999999998e-05,0.7304112237785821,0.47295423023578365,0.6443105425275986,0.7304112237785821,0.7304112237785821,0.3414011736403084,0.33037300177619894,,,,,,,
2,0.9137406952521151,0,2.7074999999999997e-05,0.6825437866762596,0.42579750346740636,0.6141151606448276,0.6825437866762596,0.6825437866762596,0.35483508330148167,0.2539964476021314,,,,,,,
3,0.8488186303204074,0,2.5721249999999997e-05,0.6184207567956472,0.31761442441054094,0.5448434022078827,0.6184207567956472,0.6184207567956472,0.41489983587022505,0.12966252220248667,,,,,,,
4,0.7878411691666233,0,2.4435187499999995e-05,0.7619218922139532,0.49514563106796117,0.6585201340018436,0.7619218922139532,0.7619218922139532,0.293494390359062,0.35879218472468916,,,,,,,
5,0.7596579610839559,0,2.3213428124999993e-05,0.7784360455966004,0.6269070735090153,0.7428895833801741,0.7784360455966004,0.7784360455966004,0.31630955325224275,0.522202486678508,,,,,,,
6,0.730563923546385,0,2.2052756718749993e-05,0.7909144051981923,0.6144244105409153,0.7348966881759111,0.7909144051981923,0.7909144051981923,0.2786721226701441,0.5150976909413855,,,,,,,
7,0.7224865648257401,0,2.0950118882812494e-05,0.7049486251320907,0.420249653259362,0.6105627627762664,0.7049486251320907,0.7049486251320907,0.34811812847089507,0.2682060390763766,,,,,,,
8,0.7132942025681888,0,1.9902612938671867e-05,0.7441374193403332,0.6019417475728155,0.7269037929716482,0.7441374193403332,0.7441374193403332,0.3355723182768622,0.5026642984014209,,,,,,,
9,0.6979625014311727,0,1.890748229173827e-05,0.6525282730399982,0.3925104022191401,0.5928007734334599,0.6525282730399982,0.6525282730399982,0.4117352789081997,0.23268206039076378,,,,,,,
10,0.6799290061823501,0,1.7962108177151358e-05,0.7783573532387527,0.5423023578363384,0.6887155158846145,0.7783573532387527,0.7783573532387527,0.30376374305820986,0.42095914742451157,,,,,,,
11,0.6632015484022082,0,1.7064002768293788e-05,0.7740405153225263,0.5686546463245492,0.7055894057602805,0.7740405153225263,0.7740405153225263,0.2831126200058457,0.46181172291296624,,,,,,,
12,0.6613094780417873,0,1.6210802629879097e-05,0.7785259797198552,0.6102635228848821,0.7322323897744902,0.7785259797198552,0.7785259797198552,0.3131449962902174,0.5062166962699822,,,,,,,
13,0.657454233136496,0,1.540026249838514e-05,0.8063381073363761,0.6601941747572816,0.7642039705915417,0.8063381073363761,0.8063381073363761,0.2845009780335904,0.5630550621669627,,,,,,,
14,0.6242575673037019,0,1.4630249373465883e-05,0.7906333610630214,0.6380027739251041,0.7499943791172965,0.7906333610630214,0.7906333610630214,0.30109944465678895,0.5435168738898757,,,,,,,
15,0.6253962520309413,0,1.3898736904792588e-05,0.7564808777570429,0.59500693481276,0.7224632956359467,0.7564808777570429,0.7564808777570429,0.33646041774400254,0.48845470692717585,,,,,,,
16,0.6165377894024475,0,1.3203800059552958e-05,0.7973671785417181,0.6449375866851595,0.7544348764529982,0.7973671785417181,0.7973671785417181,0.2845009780335904,0.5452930728241563,,,,,,,
17,0.6274500186289212,0,1.254361005657531e-05,0.7972547608876498,0.665742024965326,0.767756368460103,0.7972547608876498,0.7972547608876498,0.2979348876947636,0.5790408525754884,,,,,,,
18,0.6147869499385065,0,1.1916429553746543e-05,0.7915102187647548,0.6435506241331485,0.7535467769858578,0.7915102187647548,0.7915102187647548,0.30287564359106955,0.5577264653641207,,,,,,,
19,0.6072053871866541,0,1.1320608076059215e-05,0.8032353800840883,0.6726768377253814,0.7721968657958045,0.8032353800840883,0.8032353800840883,0.28716527643501133,0.5932504440497336,,,,,,,
20,0.6071541051807255,0,1.0754577672256254e-05,0.8093059334037817,0.6255201109570042,0.7420014839130337,0.8093059334037817,0.8093059334037817,0.2853890775007307,0.5346358792184724,,,,,,,
21,0.6117020598073379,0,1.021684878864344e-05,0.8168154326955506,0.6629680998613038,0.7659801695258224,0.8168154326955506,0.8168154326955506,0.27195516783955753,0.5790408525754884,,,,,,,
22,0.6118923831506227,0,9.706006349211269e-06,0.8172875868426378,0.6504854368932039,0.7579872743215594,0.8172875868426378,0.8172875868426378,0.26612631247611124,0.5648312611012434,,,,,,,
23,0.5935413638588655,0,9.220706031750704e-06,0.798929783933269,0.636615811373093,0.7491062796501562,0.798929783933269,0.798929783933269,0.29032983339703666,0.5488454706927176,,,,,,,
24,0.6039232437849823,0,8.759670730163168e-06,0.8101827911055152,0.6588072122052705,0.7633158711244014,0.8101827911055152,0.8101827911055152,0.27195516783955753,0.5772646536412078,,,,,,,
25,0.5970650842598659,0,8.32168719365501e-06,0.7953998695955213,0.6393897364771152,0.7508824785844368,0.7953998695955213,0.7953998695955213,0.2970467882276232,0.5364120781527532,,,,,,,
26,0.5904078463648506,0,7.905602833972258e-06,0.7846190165703621,0.6407766990291263,0.7517705780515772,0.7846190165703621,0.7846190165703621,0.30198754412392925,0.5541740674955595,,,,,,,
