epoch,train_loss,skipped_training_clips,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean,stage1_saturated,stage2_saturated,stage3_saturated,stage3_output_std
1,1.4488312937015422,0,2.8499999999999998e-05,0.751866703539823,0.376,0.5984513274336283,0.751866703539823,0.751866703539823,0.32680275165929207,0.240234375,,0.751866703539823,1.4243684190690546,0.0,0.00014767957327421755,6.053072866052389e-06,0.4867722988128662
2,1.436402021854095,0,2.7074999999999997e-05,0.7259229811946903,0.2912,0.5466935149336283,0.7259229811946903,0.7259229811946903,0.3174951603982301,0.125,,0.7259229811946903,1.282670540263569,0.0,0.0,6.053072866052389e-06,0.5297886729240417
3,1.2808067392114229,0,2.5721249999999997e-05,0.7578297842920353,0.3472,0.5808732024336283,0.7578297842920353,0.7578297842920353,0.2841710453539823,0.185546875,,0.7578297842920353,1.6300265486852716,0.0,4.004869879281614e-06,0.0,0.514224648475647
4,1.155009331476387,0,2.4435187499999995e-05,0.7703436117256637,0.3696,0.5945450774336283,0.7703436117256637,0.7703436117256637,0.2998565403761062,0.2421875,,0.7703436117256637,1.3782195133184174,3.287812546659552e-07,0.0,0.0,0.4771261215209961
5,1.1172862301837367,0,2.3213428124999993e-05,0.7285329092920354,0.2864,0.5437638274336283,0.7285329092920354,0.7285329092920354,0.2988799778761062,0.12109375,,0.7285329092920354,1.588167662754075,6.575625093319104e-07,0.0001526856649434194,3.6318437196314335e-05,0.5544828772544861
6,1.024935584296556,0,2.2052756718749993e-05,0.7535951327433629,0.424,0.6277482024336283,0.7535951327433629,0.7535951327433629,0.29347863661504425,0.27734375,,0.7535951327433629,1.3813706224714206,0.0,0.0,0.0,0.5053720474243164
7,1.0018617665033551,0,2.0950118882812494e-05,0.7593680862831858,0.4368,0.6355607024336283,0.7593680862831858,0.7593680862831858,0.29152551161504425,0.32421875,,0.7593680862831858,1.6258926699812493,7.233187716337852e-06,1.5018262047306052e-06,8.070764124568086e-06,0.5226868391036987
8,0.9073868948559096,0,1.9902612938671867e-05,0.7585384402654868,0.3584,0.5877091399336283,0.7585384402654868,0.7585384402654868,0.2841710453539823,0.1640625,,0.7585384402654868,1.2905680781461357,1.479515617575089e-06,0.0,0.0,0.48425599932670593
9,0.8915759038733133,0,1.890748229173827e-05,0.7030040099557523,0.2544,0.5242325774336283,0.7030040099557523,0.7030040099557523,0.337086905420354,0.083984375,,0.7030040099557523,1.1914154635272867,2.7946407499257475e-06,0.0,0.0,0.4622807800769806
10,0.8857129978328991,0,1.7962108177151358e-05,0.7449702710176991,0.4272,0.6297013274336283,0.7449702710176991,0.7449702710176991,0.31014069413716816,0.306640625,,0.7449702710176991,1.461660276252191,9.370265615871176e-06,3.0036524094612105e-06,0.0,0.5814998745918274
11,0.8731127046656356,0,1.7064002768293788e-05,0.7306761615044247,0.2912,0.5466935149336283,0.7306761615044247,0.7306761615044247,0.3174951603982301,0.12109375,,0.7306761615044247,1.540639598881389,5.918062470300356e-06,1.0012174698204035e-06,0.0,0.48149222135543823
12,0.8484138086207248,0,1.6210802629879097e-05,0.7305378871681416,0.3312,0.5711075774336283,0.7305378871681416,0.7305378871681416,0.32582618915929207,0.193359375,,0.7305378871681416,1.4630811029591677,3.7809843433933565e-06,0.0,0.0,0.5332401394844055
13,0.7918769889564343,0,1.540026249838514e-05,0.7134782909292035,0.2912,0.5466935149336283,0.7134782909292035,0.7134782909292035,0.3184717228982301,0.146484375,,0.7134782909292035,1.7794842551635373,9.205875358020421e-06,0.0,2.0176910311420215e-06,0.5437233448028564
14,0.7981016588371497,0,1.4630249373465883e-05,0.7652793141592921,0.4656,0.6531388274336283,0.7652793141592921,0.7652793141592921,0.29250207411504425,0.3125,,0.7652793141592921,1.5510657084862807,6.246843895496568e-06,1.6019479517126456e-05,6.05307322985027e-05,0.5159959197044373
15,0.8386604708982526,0,1.3898736904792588e-05,0.7582791758849556,0.4784,0.6609513274336283,0.7582791758849556,0.7582791758849556,0.30623444413716816,0.369140625,,0.7582791758849556,1.555805584732794,5.424890787253389e-06,9.51156562223332e-06,0.0,0.5589398145675659
