epoch,train_loss,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean,stage1_saturated,stage2_saturated,stage3_saturated,stage3_output_std
1,1.56595399108568,9.5e-05,0.6980088495575221,0.6497175141242938,0.5359513274336283,0.6980088495575221,0.6980088495575221,0.31111725663716816,0.125,,0.6980088495575221,0.09756082697829273,0.0,0.0,0.18445126712322235,0.36712050437927246
2,0.92101731844137,9.025e-05,0.6814159292035399,0.672316384180791,0.5672013274336283,0.6814159292035399,0.6814159292035399,0.3733407079646018,0.1875,,0.6814159292035399,0.001386996368704486,0.0,0.058386996388435364,0.7382811903953552,0.43755802512168884
3,0.8139095611529968,8.573749999999999e-05,0.6811393805309736,0.6666666666666666,0.5593888274336283,0.6811393805309736,0.6811393805309736,0.3566786504424779,0.171875,,0.6811393805309736,0.005871748157382197,0.0,0.09387965500354767,0.7773739695549011,0.4371533691883087
4,0.8273169442367106,8.145062499999998e-05,0.7284292035398231,0.711864406779661,0.6218888274336283,0.7284292035398231,0.7284292035398231,0.3444413716814159,0.234375,,0.7284292035398231,0.004496584001221248,0.0,0.2089841216802597,0.8207180500030518,0.4515995383262634
5,0.7617523848864616,7.737809374999998e-05,0.7343750000000001,0.6892655367231638,0.5906388274336283,0.7343750000000001,0.7343750000000001,0.3689159292035398,0.234375,,0.7343750000000001,0.013598462274320145,0.0,0.2403382509946823,0.7617186903953552,0.4470553398132324
6,0.8106104408681004,7.350918906249998e-05,0.7282909292035398,0.6836158192090396,0.5828263274336283,0.7282909292035398,0.7282909292035398,0.3077295353982301,0.21875,,0.7282909292035398,0.010085387353744493,0.0,0.29616913199424744,0.81401526927948,0.44922301173210144
7,0.778684405242298,6.983372960937497e-05,0.7093473451327434,0.6892655367231638,0.5906388274336283,0.7093473451327434,0.7093473451327434,0.340016592920354,0.203125,,0.7093473451327434,0.005000267752017225,0.0,0.33626389503479004,0.894057035446167,0.4539215564727783
8,0.7727740529748394,6.634204312890622e-05,0.6869469026548674,0.6666666666666666,0.5593888274336283,0.6869469026548674,0.6869469026548674,0.3855779867256637,0.171875,,0.6869469026548674,0.002862610837518762,0.0,0.3958027958869934,0.8984374403953552,0.45428407192230225
9,0.7673773023666021,6.30249409724609e-05,0.699391592920354,0.655367231638418,0.5437638274336283,0.699391592920354,0.699391592920354,0.3522538716814159,0.140625,,0.699391592920354,0.004988479500557289,0.0,0.41317039728164673,0.9062499403953552,0.45557355880737305
10,0.792144714400391,5.987369392383786e-05,0.7482024336283186,0.7175141242937854,0.6297013274336283,0.7482024336283186,0.7482024336283186,0.32777931415929207,0.3125,,0.7482024336283186,0.004066655377779464,0.0,0.5384472608566284,0.9101561903953552,0.4532080590724945
11,0.756054512737091,5.688000922764596e-05,0.7233130530973451,0.711864406779661,0.6218888274336283,0.7233130530973451,0.7233130530973451,0.3644911504424779,0.296875,,0.7233130530973451,0.005238458792098473,0.0,0.5539080500602722,0.9101561903953552,0.453894704580307
12,0.7466171406890109,5.4036008766263664e-05,0.7401825221238938,0.7175141242937854,0.6297013274336283,0.7401825221238938,0.7401825221238938,0.3566786504424779,0.3125,,0.7401825221238938,0.006382793065759846,0.0,0.5291153788566589,0.871351957321167,0.44930392503738403
13,0.748593338818379,5.133420832795048e-05,0.7179203539823008,0.7231638418079096,0.6375138274336283,0.7179203539823008,0.7179203539823008,0.39000276548672563,0.3125,,0.7179203539823008,0.011232696167234607,0.0,0.595676839351654,0.8867186903953552,0.4515390992164612
14,0.752306602524554,4.876749791155295e-05,0.7545630530973453,0.7005649717514124,0.6062638274336283,0.7545630530973453,0.7545630530973453,0.3566786504424779,0.265625,,0.7545630530973453,0.008573051887185379,0.0,0.6323809623718262,0.9062499403953552,0.45141148567199707
15,0.7573522605354401,4.6329123015975305e-05,0.709070796460177,0.6949152542372882,0.5984513274336283,0.709070796460177,0.709070796460177,0.4267146017699115,0.234375,,0.709070796460177,0.0075722289458267445,0.0,0.6936149001121521,0.9140624403953552,0.4542408287525177
16,0.7383592622643291,4.4012666865176535e-05,0.7122511061946902,0.6836158192090396,0.5828263274336283,0.7122511061946902,0.7122511061946902,0.3644911504424779,0.21875,,0.7122511061946902,0.00820266999272554,0.0,0.6670951843261719,0.8914986252784729,0.45206382870674133
17,0.7776204804490285,4.181203352191771e-05,0.7397676991150444,0.711864406779661,0.6218888274336283,0.7397676991150444,0.7397676991150444,0.340016592920354,0.234375,,0.7397676991150444,0.009108006006963137,0.0,0.6431670784950256,0.9218749403953552,0.45372819900512695
