epoch,train_loss,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean,stage1_saturated,stage2_saturated,stage3_saturated,stage3_output_std
1,1.4465746691854606,2.8499999999999998e-05,0.6841295630530974,0.2944,0.5486466399336283,0.6841295630530974,0.6841295630530974,0.3713875829646018,0.140625,,0.6841295630530974,0.5976359315539657,0.0,0.0,0.0,0.16850504279136658
2,1.3803829552870104,2.7074999999999997e-05,0.6293729258849559,0.3216,0.5652482024336283,0.6293729258849559,0.6293729258849559,0.3963806692477876,0.181640625,,0.6293729258849559,0.4101834657804887,0.0,0.0,0.0,0.18054033815860748
3,1.3034584709119543,2.5721249999999997e-05,0.6295284845132743,0.3424,0.5779435149336283,0.6295284845132743,0.6295284845132743,0.42918625553097345,0.1796875,,0.6295284845132743,0.38375408041119125,0.0,0.0,0.0,0.17639859020709991
4,1.2533611591060632,2.4435187499999995e-05,0.6801714601769911,0.32,0.5642716399336283,0.6801714601769911,0.6801714601769911,0.3752938329646018,0.1796875,,0.6801714601769911,0.48864300464958843,0.0,0.0,0.0,0.16264082491397858
5,1.1322388419939196,2.3213428124999993e-05,0.6647020188053097,0.3456,0.5798966399336283,0.6647020188053097,0.6647020188053097,0.3934509817477876,0.208984375,,0.6647020188053097,0.5435090038653654,0.0,0.0,0.0,0.17459869384765625
6,1.1209570800803517,2.2052756718749993e-05,0.691803788716814,0.3632,0.5906388274336283,0.691803788716814,0.691803788716814,0.3723641454646018,0.20703125,,0.691803788716814,0.3703065548925964,0.0,0.0,0.0,0.18211729824543
7,1.038021789775587,2.0950118882812494e-05,0.7156906803097345,0.36,0.5886857024336283,0.7156906803097345,0.7156906803097345,0.3434648091814159,0.224609375,,0.7156906803097345,0.4274589672260946,0.0,0.0,0.0,0.16834278404712677
8,1.0342042255557187,1.9902612938671867e-05,0.6900235066371682,0.352,0.5838028899336283,0.6900235066371682,0.6900235066371682,0.3640331167035398,0.220703125,,0.6900235066371682,0.4612995124064487,0.0,0.0,0.0,0.17443488538265228
9,1.0735433450907614,1.890748229173827e-05,0.682988799778761,0.344,0.5789200774336283,0.682988799778761,0.682988799778761,0.3865545492256637,0.193359375,,0.682988799778761,0.5098703726303155,0.0,0.0,0.0,0.19264939427375793
10,1.0930648377046694,1.7962108177151358e-05,0.6794455199115044,0.2928,0.5476700774336283,0.6794455199115044,0.6794455199115044,0.3547255254424779,0.14453125,,0.6794455199115044,0.6155148341844414,0.0,0.0,0.0,0.17379289865493774
