epoch,train_loss,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean,stage1_saturated,stage2_saturated,stage3_saturated,stage3_output_std
1,1.5539371556865256,0.000285,0.5641592920353983,0.1968,0.48907632743362833,0.5641592920353983,0.5641592920353983,0.44096550055309736,0.029296875,,0.5641592920353983,2.3043370201844304,1.0274414307787083e-05,3.754565511826513e-07,0.0014411357697099447,0.6585899591445923
2,1.2675605221221538,0.00027075,0.5964463495575222,0.2512,0.5222794524336283,0.5964463495575222,0.5964463495575222,0.4336110342920354,0.09375,,0.5964463495575222,1.3010776422669204,0.0,0.00010644193389452994,6.759264942957088e-05,0.45724722743034363
3,1.2791126174381273,0.0002572125,0.5155558628318584,0.2096,0.49688882743362833,0.5155558628318584,0.5155558628318584,0.5173793556415929,0.04296875,,0.5155558628318584,0.8233788600693538,0.0,0.0,1.866364254965447e-05,0.34924283623695374
4,1.219906233384792,0.000244351875,0.5962562223451328,0.264,0.5300919524336283,0.5962562223451328,0.5962562223451328,0.4316579092920354,0.109375,,0.5962562223451328,1.0685125392757615,0.0,0.0,4.186708974884823e-05,0.3973434567451477
5,1.2180497448824552,0.00023213428124999998,0.5683248064159292,0.2976,0.5505997649336283,0.5683248064159292,0.5683248064159292,0.45958068307522126,0.150390625,,0.5683248064159292,0.8023901027884224,0.0,0.00015431264182552695,0.0023955036886036396,0.4539910554885864
6,1.1602085835465987,0.00022052756718749997,0.562759264380531,0.248,0.5203263274336283,0.562759264380531,0.562759264380531,0.44389518805309736,0.083984375,,0.562759264380531,0.907648128689986,0.0,7.26508442312479e-05,0.0005129979690536857,0.4392468333244324
7,1.155772780042391,0.00020950118882812497,0.6331754701327433,0.2512,0.5222794524336283,0.6331754701327433,0.6331754701327433,0.40764138550884954,0.091796875,,0.6331754701327433,0.9511258289230432,0.0,5.6318481256312225e-06,4.035382062284043e-06,0.34656521677970886
8,1.1547663565147759,0.00019902612938671872,0.6074391592920354,0.2784,0.5388810149336283,0.6074391592920354,0.6074391592920354,0.42430344303097345,0.130859375,,0.6074391592920354,0.6290810938796694,0.0,0.0,0.0,0.3214189112186432
9,1.1200954506195,0.00018907482291738277,0.5887548396017699,0.2624,0.5291153899336283,0.5887548396017699,0.5887548396017699,0.42332688053097345,0.109375,,0.5887548396017699,0.39213782667398334,0.0,0.0,9.079609299078584e-06,0.3001617193222046
10,1.1455532324669022,0.0001796210817715136,0.6510128595132743,0.2816,0.5408341399336283,0.6510128595132743,0.6510128595132743,0.3924744192477876,0.130859375,,0.6510128595132743,0.9521405182091693,0.0,5.068663540441776e-06,3.530959247655119e-06,0.3413356840610504
11,1.0828290546941912,0.00017064002768293793,0.6508400165929202,0.3328,0.5720841399336283,0.6508400165929202,0.6508400165929202,0.40666482300884954,0.193359375,,0.6508400165929202,1.2015167330607657,0.0,2.1401023332145996e-05,0.0,0.3471528887748718
12,1.0950402974426066,0.00016210802629879103,0.6216468473451328,0.2592,0.5271622649336283,0.6216468473451328,0.6216468473451328,0.40568826050884954,0.1015625,,0.6216468473451328,0.6952984261955792,0.0,8.260044523922261e-06,7.011476554907858e-05,0.3587471544742584
13,1.1075780165623297,0.00015400262498385146,0.6592574668141593,0.2992,0.5515763274336283,0.6592574668141593,0.6592574668141593,0.41838357300884954,0.115234375,,0.6592574668141593,0.8460080700655123,3.287812546659552e-07,0.0,6.507053331006318e-05,0.34425410628318787
14,1.0228573157897198,0.00014630249373465888,0.6120713495575222,0.224,0.5056778899336283,0.6120713495575222,0.6120713495575222,0.42332688053097345,0.064453125,,0.6120713495575222,0.3851847760919307,0.0,1.3140979717718437e-06,5.54865027879714e-06,0.35943225026130676
15,1.0253339957257468,0.00013898736904792593,0.6504251935840708,0.2512,0.5222794524336283,0.6504251935840708,0.6504251935840708,0.40568826050884954,0.083984375,,0.6504251935840708,0.769107402019703,9.863438208412845e-07,6.551716796820983e-05,8.070764124568086e-06,0.3447195291519165
16,1.0293448985254978,0.00013203800059552963,0.6524128871681416,0.2944,0.5486466399336283,0.6524128871681416,0.6524128871681416,0.40568826050884954,0.142578125,,0.6524128871681416,0.44757735610839333,0.0,7.602995174238458e-05,5.5486503697466105e-05,0.3575843274593353
17,0.9895640656133265,0.00012543610056575314,0.6974211836283185,0.296,0.5496232024336283,0.6974211836283185,0.6974211836283185,0.3733407079646018,0.140625,,0.6974211836283185,0.6061701254167747,0.0,1.5018262047306052e-06,0.0,0.3415648341178894
18,1.0195883151636038,0.00011916429553746547,0.6829715154867257,0.304,0.5545060149336283,0.6829715154867257,0.6829715154867257,0.3547255254424779,0.146484375,,0.6829715154867257,0.780031210221318,6.575625093319104e-07,1.1263696251262445e-06,4.539804649539292e-06,0.3624774217605591
19,1.0112143628797563,0.0001132060807605922,0.6436670353982301,0.2928,0.5476700774336283,0.6436670353982301,0.6436670353982301,0.4012634817477876,0.134765625,,0.6436670353982301,0.34534335006559186,0.0,5.631848125631223e-07,2.5221138457709458e-06,0.30836963653564453
20,0.9856734322004178,0.00010754577672256258,0.7013792865044248,0.312,0.5593888274336283,0.7013792865044248,0.7013792865044248,0.3566786504424779,0.162109375,,0.7013792865044248,0.460100262345403,2.3836641958041582e-06,5.068663540441776e-06,3.0265364330261946e-06,0.3204459846019745
21,0.9282979641541182,0.00010216848788643445,0.6755738384955752,0.3168,0.5623185149336283,0.6755738384955752,0.6755738384955752,0.3963806692477876,0.169921875,,0.6755738384955752,0.301922697437265,0.0,1.1263696251262445e-06,0.0,0.3093136250972748
22,0.9787432843816222,9.706006349211273e-05,0.6988903484513274,0.3232,0.5662247649336283,0.6988903484513274,0.6988903484513274,0.3537489629424779,0.1796875,,0.6988903484513274,0.43305435033086226,0.0,2.759605740720872e-05,5.4982079745968804e-05,0.35651490092277527
23,0.9848210705386484,9.220706031750709e-05,0.6964186946902655,0.3024,0.5535294524336283,0.6964186946902655,0.6964186946902655,0.3630565542035398,0.154296875,,0.6964186946902655,0.6395936595001505,2.3014688395051053e-06,6.345215660985559e-05,1.2106145732104778e-05,0.33534491062164307
24,0.9224679875164786,8.759670730163173e-05,0.7025373340707964,0.2896,0.5457169524336283,0.7025373340707964,0.7025373340707964,0.335133780420354,0.13671875,,0.7025373340707964,0.5796559956800311,0.0,2.496786146366503e-05,4.2875934013864025e-05,0.36119315028190613
25,0.957276988355215,8.321687193655014e-05,0.6883123617256637,0.3632,0.5906388274336283,0.6883123617256637,0.6883123617256637,0.3640331167035398,0.228515625,,0.6883123617256637,0.30799976872084966,0.0,4.505478500504978e-06,0.0,0.2957017123699188
26,0.9610708299993885,7.905602833972263e-05,0.7260266869469026,0.3792,0.6004044524336283,0.7260266869469026,0.7260266869469026,0.336110342920354,0.251953125,,0.7260266869469026,0.5490667626796631,1.3973203749628738e-06,2.0086925360374153e-05,3.530959247655119e-06,0.327645480632782
27,0.8968384586408321,7.510322692273649e-05,0.6823838495575221,0.2816,0.5408341399336283,0.6823838495575221,0.6823838495575221,0.3723641454646018,0.134765625,,0.6823838495575221,0.2955469277650418,0.0,1.1826881745946594e-05,1.160172359959688e-05,0.3532111942768097
28,0.9331483024903262,7.134806557659966e-05,0.6893494192477876,0.3392,0.5759903899336283,0.6893494192477876,0.6893494192477876,0.3473710591814159,0.197265625,,0.6893494192477876,0.5047789702915499,2.0548827706079464e-06,2.646968641784042e-05,1.3114991816109978e-05,0.34291788935661316
29,0.9106955818382212,6.778066229776968e-05,0.6979224280973451,0.3776,0.5994278899336283,0.6979224280973451,0.6979224280973451,0.3659862417035398,0.2421875,,0.6979224280973451,0.6949048386313154,2.4658593247295357e-06,1.614463144505862e-05,1.2610568774107378e-05,0.35685786604881287
30,0.8735653632252096,6.43916291828812e-05,0.700826189159292,0.3072,0.5564591399336283,0.700826189159292,0.700826189159292,0.3508192754424779,0.146484375,,0.700826189159292,0.3879721557024074,3.287812546659552e-07,9.761870387592353e-06,0.0,0.34727856516838074
31,0.9117272439949081,6.117204772373713e-05,0.7286538993362832,0.344,0.5789200774336283,0.7286538993362832,0.7286538993362832,0.337086905420354,0.201171875,,0.7286538993362832,0.6377468401050193,2.876835878851125e-06,4.13002198911272e-05,9.584032341081183e-06,0.3503322899341583
32,0.920722003461,5.811344533755027e-05,0.7131671736725662,0.3616,0.5896622649336283,0.7131671736725662,0.7131671736725662,0.3503007466814159,0.208984375,,0.7131671736725662,0.7403723321910147,2.3014688395051053e-06,2.3466034690500237e-05,1.160172359959688e-05,0.37401866912841797
