epoch,train_loss,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean,stage1_saturated,stage2_saturated,stage3_saturated,stage3_output_std
1,1.4919185807858555,0.000285,0.6073700221238938,0.2112,0.49786538993362833,0.6073700221238938,0.6073700221238938,0.4179255392699115,0.046875,,0.6073700221238938,1.8476503229711214,0.0,0.00014699123858008534,0.0009584032231941819,0.6290598511695862
2,1.272244340261569,0.00027075,0.6003871681415929,0.2576,0.5261857024336283,0.6003871681415929,0.6003871681415929,0.42332688053097345,0.10546875,,0.6003871681415929,1.2430287349117088,0.0,0.0,3.430074866628274e-05,0.43363669514656067
3,1.296215328450207,0.0002572125,0.5177682522123893,0.1952,0.48809976493362833,0.5177682522123893,0.5177682522123893,0.48457376935840707,0.029296875,,0.5177682522123893,1.5416866652477013,0.0,0.0,0.0,0.36359336972236633
4,1.3006099167281417,0.000244351875,0.5927129424778761,0.2304,0.5095841399336283,0.5927129424778761,0.5927129424778761,0.4532027793141593,0.0703125,,0.5927129424778761,1.7628475213966395,0.0,0.0,2.0176910311420215e-06,0.3983772397041321
5,1.208535221233648,0.00023213428124999998,0.5823423672566372,0.2208,0.5037247649336283,0.5823423672566372,0.5823423672566372,0.4326344717920354,0.05078125,,0.5823423672566372,1.0444115173153494,0.0,0.0,0.00014880471280775964,0.4595698118209839
6,1.222870851114854,0.00022052756718749997,0.6393113938053097,0.2512,0.5222794524336283,0.6393113938053097,0.6393113938053097,0.4189021017699115,0.09765625,,0.6393113938053097,0.9082174952627164,0.0,0.0,0.0,0.4314594268798828
7,1.169575587158102,0.00020950118882812497,0.6776825221238939,0.3504,0.5828263274336283,0.6776825221238939,0.6776825221238939,0.39195589048672563,0.21484375,,0.6776825221238939,0.9699402250635318,0.0,2.046238114417065e-05,0.0001266101171495393,0.38813328742980957
8,1.1956560252079373,0.00019902612938671872,0.6289581028761062,0.2848,0.5427872649336283,0.6289581028761062,0.6289581028761062,0.4159724142699115,0.119140625,,0.6289581028761062,0.8098742382291566,9.863438208412845e-07,1.6895544376893668e-06,3.8336129364324734e-05,0.390230268239975
9,1.1104468655260509,0.00018907482291738277,0.6474350110619469,0.304,0.5545060149336283,0.6474350110619469,0.6474350110619469,0.42528000553097345,0.162109375,,0.6474350110619469,0.8758158190523632,0.0,4.317750153859379e-06,1.5132682165130973e-06,0.34337571263313293
10,1.1534359534354621,0.0001796210817715136,0.6676576327433629,0.3072,0.5564591399336283,0.6676576327433629,0.6676576327433629,0.3973572317477876,0.15234375,,0.6676576327433629,1.1528379271956803,0.0,0.0,0.0,0.3798259496688843
11,1.0817566360020325,0.00017064002768293793,0.6415237831858407,0.2656,0.5310685149336283,0.6415237831858407,0.6415237831858407,0.40373513550884954,0.1015625,,0.6415237831858407,0.9544116837077368,0.0,0.0,0.0,0.37110793590545654
12,1.1061629131800976,0.00016210802629879103,0.6528104258849556,0.296,0.5496232024336283,0.6528104258849556,0.6528104258849556,0.39982888550884954,0.146484375,,0.6528104258849556,0.8540700059698774,0.0,3.754565511826513e-07,0.0,0.38773608207702637
13,1.0711787844389726,0.00015400262498385146,0.6949495298672567,0.288,0.5447403899336283,0.6949495298672567,0.6949495298672567,0.338063467920354,0.140625,,0.6949495298672567,0.7425677832207785,0.0,0.0,0.0,0.3803073763847351
14,1.0501535472507189,0.00014630249373465888,0.708897953539823,0.3328,0.5720841399336283,0.708897953539823,0.708897953539823,0.3576552129424779,0.197265625,,0.708897953539823,0.5688722198209657,0.0,3.0036524094612105e-06,5.044227577855054e-07,0.37002137303352356
15,1.0425360487685895,0.00013898736904792593,0.6739663993362832,0.2928,0.5476700774336283,0.6739663993362832,0.6739663993362832,0.3733407079646018,0.142578125,,0.6739663993362832,0.8217411785683184,0.0,1.8772827559132566e-07,0.0,0.3716682195663452
16,1.0242344665221055,0.00013203800059552963,0.6562327157079646,0.2848,0.5427872649336283,0.6562327157079646,0.6562327157079646,0.4002869192477876,0.1328125,,0.6562327157079646,0.5360745789007355,0.0,3.3791088753787335e-06,0.0,0.3549269735813141
17,0.986762583766248,0.00012543610056575314,0.6757121128318584,0.3184,0.5632950774336283,0.6757121128318584,0.6757121128318584,0.3650096792035398,0.17578125,,0.6757121128318584,1.0118289297312222,4.7673283916083165e-06,6.15748722339049e-05,1.0088455383083783e-05,0.4282352328300476
18,1.0465331330749572,0.00011916429553746547,0.6647711559734513,0.312,0.5593888274336283,0.6647711559734513,0.6647711559734513,0.39000276548672563,0.158203125,,0.6647711559734513,0.7187778820193471,0.0,1.5018262047306052e-06,0.0,0.34292346239089966
19,0.9878543857333127,0.0001132060807605922,0.6471066095132744,0.3072,0.5564591399336283,0.6471066095132744,0.6471066095132744,0.40959451050884954,0.158203125,,0.6471066095132744,0.607451305808262,4.931719104206422e-07,2.3841490474296734e-05,1.9672486814670265e-05,0.39266467094421387
