epoch,train_loss,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean
1,874.617578125,9.5e-05,0.72,0.65,0.65,0.72,0.72,0.30000000000000004,0.4,0.72,,0.00019815825809639737
2,874.532763671875,9.025e-05,0.72,0.65,0.65,0.72,0.72,0.30000000000000004,0.4,0.72,,0.0019138136726814204
3,874.3740173339844,8.573749999999999e-05,0.7,0.65,0.65,0.7,0.7,0.45,0.4,0.7,,0.019272235659919326
4,874.3698303222657,8.145062499999998e-05,0.71,0.7,0.7,0.71,0.71,0.45,0.4,0.71,,0.16542888110568058
5,874.3890228271484,7.737809374999998e-05,0.69,0.7,0.7,0.69,0.69,0.45,0.3,0.69,,0.7024741868849117
6,874.3895965576172,7.350918906249998e-05,0.69,0.7,0.7,0.69,0.69,0.45,0.3,0.69,,0.9388112947996402
7,874.3400360107422,6.983372960937497e-05,0.67,0.7,0.7,0.67,0.67,0.45,0.3,0.67,,1.0583123700838297
8,874.4117401123046,6.634204312890622e-05,0.67,0.7,0.7,0.67,0.67,0.45,0.3,0.67,,0.9852836628180099
9,874.3983642578125,6.30249409724609e-05,0.68,0.7,0.7,0.68,0.68,0.45,0.3,0.68,,1.0605839483432724
10,874.4219848632813,5.987369392383786e-05,0.67,0.7,0.7,0.67,0.67,0.45,0.3,0.67,,0.8991532637045643
11,874.358432006836,5.688000922764596e-05,0.68,0.7,0.7,0.68,0.68,0.45,0.3,0.68,,0.9321388146526821
12,874.3765686035156,5.4036008766263664e-05,0.68,0.7,0.7,0.68,0.68,0.45,0.3,0.68,,1.023400622238168
13,874.4522827148437,5.133420832795048e-05,0.68,0.7,0.7,0.68,0.68,0.45,0.3,0.68,,0.9580388762947932
14,874.3183654785156,4.876749791155295e-05,0.6900000000000001,0.7,0.7,0.6900000000000001,0.6900000000000001,0.45,0.3,0.6900000000000001,,0.9613356856242361
15,874.3893157958985,4.6329123015975305e-05,0.6900000000000001,0.7,0.7,0.6900000000000001,0.6900000000000001,0.45,0.3,0.6900000000000001,,0.8488307180537572
16,874.3283996582031,4.4012666865176535e-05,0.6900000000000001,0.7,0.7,0.6900000000000001,0.6900000000000001,0.45,0.3,0.6900000000000001,,0.8254889043198554
17,874.3225799560547,4.181203352191771e-05,0.6900000000000001,0.7,0.7,0.6900000000000001,0.6900000000000001,0.45,0.3,0.6900000000000001,,0.8402898715650194
18,874.3302978515625,3.972143184582182e-05,0.6900000000000001,0.7,0.7,0.6900000000000001,0.6900000000000001,0.45,0.3,0.6900000000000001,,0.8110938552611561
