epoch,train_loss,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean
1,90.76349792480468,0.00095,0.7000000000000001,0.5,0.5,0.7000000000000001,0.7000000000000001,0.24999999999999997,0.0,0.7000000000000001,,3.1944978754844233
2,89.11624069213867,0.0009025,0.54,0.55,0.55,0.54,0.54,0.4,0.1,0.54,,1.5981116842948895
3,88.6506290435791,0.000857375,0.68,0.65,0.65,0.68,0.68,0.45,0.1,0.68,,1.5368290601765704
4,87.65616989135742,0.0008145062499999999,0.58,0.6,0.6,0.58,0.58,0.5,0.1,0.58,,1.1429934669989157
5,86.93555603027343,0.0007737809374999998,0.58,0.55,0.55,0.58,0.58,0.35,0.1,0.58,,1.427948795528685
6,86.41652565002441,0.0007350918906249997,0.49,0.55,0.55,0.49,0.49,0.6,0.1,0.49,,0.9477335427702995
7,86.02882881164551,0.0006983372960937497,0.6000000000000001,0.55,0.55,0.6000000000000001,0.6000000000000001,0.55,0.1,0.6000000000000001,,1.013458879667918
8,85.5584831237793,0.0006634204312890621,0.48000000000000004,0.55,0.55,0.48000000000000004,0.48000000000000004,0.6499999999999999,0.1,0.48000000000000004,,0.9764485218776352
9,85.35988426208496,0.000630249409724609,0.6,0.55,0.55,0.6,0.6,0.5,0.1,0.6,,0.7806019738789445
10,84.96105575561523,0.0005987369392383785,0.6,0.55,0.55,0.6,0.6,0.35,0.1,0.6,,0.5895008665585183
11,84.21918029785157,0.0005688000922764595,0.6900000000000001,0.55,0.55,0.6900000000000001,0.6900000000000001,0.24999999999999997,0.1,0.6900000000000001,,0.9405221064964712
12,83.97891464233399,0.0005403600876626365,0.6,0.55,0.55,0.6,0.6,0.45,0.1,0.6,,1.379878096166394
13,83.55978698730469,0.0005133420832795047,0.65,0.55,0.55,0.65,0.65,0.35,0.1,0.65,,1.2052296197609698
14,83.31853446960449,0.00048767497911552944,0.6100000000000001,0.55,0.55,0.6100000000000001,0.6100000000000001,0.5,0.1,0.6100000000000001,,1.1261890946763957
