epoch,train_loss,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean
1,893.8788818359375,0.00095,0.6799999999999999,0.6,0.6,0.6799999999999999,0.6799999999999999,0.2,0.0,0.6799999999999999,,0.00415332398725695
2,875.7255065917968,0.0009025,0.64,0.6,0.6,0.64,0.64,0.25,0.1,0.64,,0.005991392641195383
3,863.3462890625,0.000857375,0.75,0.65,0.65,0.75,0.75,0.25,0.4,0.75,,0.00018731088076909676
4,858.0025482177734,0.0008145062499999999,0.6799999999999999,0.55,0.55,0.6799999999999999,0.6799999999999999,0.30000000000000004,0.1,0.6799999999999999,,0.2939648262435767
5,852.84951171875,0.0007737809374999998,0.73,0.65,0.65,0.73,0.73,0.2,0.3,0.73,,0.5087619519168045
6,847.4224548339844,0.0007350918906249997,0.71,0.55,0.55,0.71,0.71,0.2,0.1,0.71,,0.4782020423503644
7,842.5149780273438,0.0006983372960937497,0.6,0.55,0.55,0.6,0.6,0.55,0.1,0.6,,0.21016623408056628
8,838.0059143066406,0.0006634204312890621,0.73,0.75,0.75,0.73,0.73,0.45,0.3,0.73,,0.9212089269884318
9,833.6968353271484,0.000630249409724609,0.76,0.75,0.75,0.76,0.76,0.45,0.3,0.76,,0.4797399092596304
10,829.0803039550781,0.0005987369392383785,0.75,0.7,0.7,0.75,0.75,0.30000000000000004,0.4,0.75,,0.15812260865632613
11,824.6789154052734,0.0005688000922764595,0.71,0.55,0.55,0.71,0.71,0.4,0.1,0.71,,0.23380911340083219
12,820.7649475097656,0.0005403600876626365,0.74,0.5,0.5,0.74,0.74,0.24999999999999997,0.1,0.74,,0.10617196913117931
13,816.8309844970703,0.0005133420832795047,0.69,0.5,0.5,0.69,0.69,0.30000000000000004,0.1,0.69,,0.20390006058679275
14,813.1773498535156,0.00048767497911552944,0.7100000000000001,0.5,0.5,0.7100000000000001,0.7100000000000001,0.19999999999999998,0.1,0.7100000000000001,,0.07363219696044551
15,809.636083984375,0.00046329123015975297,0.7300000000000001,0.5,0.5,0.7300000000000001,0.7300000000000001,0.19999999999999998,0.1,0.7300000000000001,,0.10819354250873156
16,806.2030059814454,0.0004401266686517653,0.79,0.6,0.6,0.79,0.79,0.19999999999999998,0.3,0.79,,0.15054682445163112
17,803.0198486328125,0.00041812033521917703,0.81,0.65,0.65,0.81,0.81,0.4,0.4,0.81,,0.25069877093797294
18,799.9494323730469,0.00039721431845821814,0.8,0.65,0.65,0.8,0.8,0.19999999999999998,0.4,0.8,,0.23477430719989467
19,797.0204132080078,0.0003773536025353072,0.78,0.6,0.6,0.78,0.78,0.24999999999999997,0.3,0.78,,0.2888471605150841
