epoch,train_loss,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean
1,21.16378809697926,0.00095,0.63,0.6,0.6,0.63,0.63,0.45,0.1,0.63,,0.0027233605172513908
2,8.077069082856179,0.0009025,0.27,0.45,0.45,0.27,0.27,0.75,0.0,0.27,,0.00392399694050293
3,0.7396483436226845,0.000857375,0.6499999999999999,0.55,0.55,0.6499999999999999,0.6499999999999999,0.45,0.1,0.6499999999999999,,0.10189241045787414
4,1.2965803917497396,0.0008145062499999999,0.74,0.55,0.55,0.74,0.74,0.25,0.2,0.74,,0.2741280406419156
5,0.5075386092066765,0.0007737809374999998,0.76,0.65,0.65,0.76,0.76,0.2,0.4,0.76,,0.2005145094022838
6,0.5451034564524889,0.0007350918906249997,0.76,0.65,0.65,0.76,0.76,0.2,0.4,0.76,,0.19247484576140464
7,0.31494699530303477,0.0006983372960937497,0.7599999999999999,0.65,0.65,0.7599999999999999,0.7599999999999999,0.30000000000000004,0.4,0.7599999999999999,,0.08200040747964787
8,0.4995072454214096,0.0006634204312890621,0.75,0.75,0.75,0.75,0.75,0.45,0.4,0.75,,0.299713371465025
9,0.5776863388717175,0.000630249409724609,0.77,0.65,0.65,0.77,0.77,0.30000000000000004,0.4,0.77,,0.5559264015245607
10,0.4022502861917019,0.0005987369392383785,0.74,0.65,0.65,0.74,0.74,0.35000000000000003,0.4,0.74,,0.11712529363768591
11,0.2464827574789524,0.0005688000922764595,0.77,0.65,0.65,0.77,0.77,0.4,0.4,0.77,,0.10284913759056116
12,0.2283449426293373,0.0005403600876626365,0.75,0.65,0.65,0.75,0.75,0.4,0.4,0.75,,0.26832990625285974
13,0.19591594599187373,0.0005133420832795047,0.76,0.65,0.65,0.76,0.76,0.4,0.4,0.76,,0.2510020305240135
14,0.22860158197581767,0.00048767497911552944,0.71,0.65,0.65,0.71,0.71,0.4,0.3,0.71,,0.2871502079113546
15,0.37363361828029157,0.00046329123015975297,0.73,0.65,0.65,0.73,0.73,0.4,0.3,0.73,,0.35762623608139565
16,0.18035936504602432,0.0004401266686517653,0.74,0.65,0.65,0.74,0.74,0.4,0.4,0.74,,0.2622987693085565
17,0.16162747964262963,0.00041812033521917703,0.74,0.6,0.6,0.74,0.74,0.4,0.3,0.74,,0.30025027904251206
18,0.18174287751317025,0.00039721431845821814,0.74,0.6,0.6,0.74,0.74,0.45,0.3,0.74,,0.3796379039680669
19,0.13618439808487892,0.0003773536025353072,0.73,0.6,0.6,0.73,0.73,0.45,0.3,0.73,,0.5465312203592575
20,0.11406205780804157,0.0003584859224085418,0.75,0.65,0.65,0.75,0.75,0.45,0.4,0.75,,0.5072509585235868
21,0.14731965512037276,0.0003405616262881147,0.75,0.6,0.6,0.75,0.75,0.45,0.3,0.75,,0.5845733609810816
22,0.09540600180625916,0.00032353354497370894,0.75,0.6,0.6,0.75,0.75,0.45,0.3,0.75,,0.8817443379614044
23,0.09934811182320118,0.00030735686772502346,0.75,0.6,0.6,0.75,0.75,0.45,0.3,0.75,,0.678175608287485
24,0.09669040478765964,0.00029198902433877225,0.76,0.65,0.65,0.76,0.76,0.45,0.4,0.76,,0.6000677241756126
25,0.09133424609899521,0.00027738957312183364,0.76,0.65,0.65,0.76,0.76,0.45,0.4,0.76,,0.7080241278730888
26,0.09390476159751415,0.0002635200944657419,0.76,0.65,0.65,0.76,0.76,0.45,0.4,0.76,,0.6632250680639082
27,0.09243979826569557,0.0002503440897424548,0.75,0.65,0.65,0.75,0.75,0.45,0.4,0.75,,0.6033851298883118
28,0.088167480006814,0.00023782688525533205,0.75,0.65,0.65,0.75,0.75,0.45,0.4,0.75,,0.7024837992736048
29,0.08813151940703393,0.00022593554099256544,0.75,0.65,0.65,0.75,0.75,0.45,0.4,0.75,,0.5733526214016829
30,0.08817014023661614,0.00021463876394293716,0.75,0.65,0.65,0.75,0.75,0.45,0.4,0.75,,0.6890952412096075
31,0.08828572146594524,0.0002039068257457903,0.75,0.65,0.65,0.75,0.75,0.45,0.4,0.75,,0.7244265906571301
