epoch,train_loss,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean
1,1.350086545944214,0.00095,0.7200000000000001,0.7,0.7,0.7200000000000001,0.7200000000000001,0.4,0.2,0.7200000000000001,,0.030168427675977515
2,0.7954881712794304,0.0009025,0.69,0.45,0.45,0.69,0.69,0.35,0.0,0.69,,0.13924708736949815
3,0.6898610889911652,0.000857375,0.5399999999999999,0.6,0.6,0.5399999999999999,0.5399999999999999,0.5,0.2,0.5399999999999999,,0.3332733906469637
4,0.6403200179338455,0.0008145062499999999,0.7300000000000001,0.6,0.6,0.7300000000000001,0.7300000000000001,0.35,0.2,0.7300000000000001,,1.2459552534142317
5,0.45774206668138506,0.0007737809374999998,0.69,0.6,0.6,0.69,0.69,0.45,0.1,0.69,,0.46955201177367917
6,0.41016098111867905,0.0007350918906249997,0.63,0.55,0.55,0.63,0.63,0.55,0.1,0.63,,1.7936910836922613
7,0.40717487782239914,0.0006983372960937497,0.65,0.55,0.55,0.65,0.65,0.5,0.1,0.65,,1.321219842062054
8,0.38571660667657853,0.0006634204312890621,0.62,0.55,0.55,0.62,0.62,0.55,0.1,0.62,,1.6070867819827575
9,0.40113908499479295,0.000630249409724609,0.62,0.55,0.55,0.62,0.62,0.55,0.1,0.62,,2.226087556037739
10,0.3745325207710266,0.0005987369392383785,0.64,0.55,0.55,0.64,0.64,0.55,0.1,0.64,,2.244688475384316
11,0.3305575042963028,0.0005688000922764595,0.62,0.55,0.55,0.62,0.62,0.55,0.1,0.62,,2.49046011397887
12,0.3805040031671524,0.0005403600876626365,0.6100000000000001,0.55,0.55,0.6100000000000001,0.6100000000000001,0.55,0.1,0.6100000000000001,,0.6361745142407762
13,0.3517766773700714,0.0005133420832795047,0.62,0.55,0.55,0.62,0.62,0.55,0.1,0.62,,1.7008209997300687
14,0.34498577266931535,0.00048767497911552944,0.63,0.55,0.55,0.63,0.63,0.55,0.1,0.63,,1.9753146021053716
15,0.3037400022149086,0.00046329123015975297,0.63,0.55,0.55,0.63,0.63,0.55,0.1,0.63,,1.6841647635559056
16,0.30386224389076233,0.0004401266686517653,0.63,0.55,0.55,0.63,0.63,0.55,0.1,0.63,,1.6749998690943704
17,0.29950316101312635,0.00041812033521917703,0.62,0.55,0.55,0.62,0.62,0.55,0.1,0.62,,1.7326009370367101
18,0.29935606718063357,0.00039721431845821814,0.63,0.55,0.55,0.63,0.63,0.55,0.1,0.63,,1.795022130705373
19,0.29706427454948425,0.0003773536025353072,0.63,0.55,0.55,0.63,0.63,0.55,0.1,0.63,,2.1436383348934402
20,0.2963499650359154,0.0003584859224085418,0.62,0.55,0.55,0.62,0.62,0.55,0.1,0.62,,1.7210648496423997
21,0.2967175170779228,0.0003405616262881147,0.62,0.55,0.55,0.62,0.62,0.55,0.1,0.62,,1.8855625001231022
22,0.29668452888727187,0.00032353354497370894,0.62,0.55,0.55,0.62,0.62,0.55,0.1,0.62,,2.144061074169037
23,0.2957357630133629,0.00030735686772502346,0.62,0.55,0.55,0.62,0.62,0.5,0.1,0.62,,1.8145313369864133
24,0.29542691111564634,0.00029198902433877225,0.62,0.55,0.55,0.62,0.62,0.55,0.1,0.62,,1.650549553548121
25,0.29476335644721985,0.00027738957312183364,0.62,0.55,0.55,0.62,0.62,0.5,0.1,0.62,,1.6918846000743997
26,0.29530336111783984,0.0002635200944657419,0.61,0.55,0.55,0.61,0.61,0.45,0.1,0.61,,1.7330310811677827
