epoch,train_loss,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean
1,20.910776124589027,0.00095,0.61,0.6,0.6,0.61,0.61,0.5,0.1,0.61,,0.0025482451922283892
2,7.8082632682228,0.0009025,0.27,0.45,0.45,0.27,0.27,0.75,0.0,0.27,,0.0040543482086624625
3,0.5773058333201334,0.000857375,0.62,0.55,0.55,0.62,0.62,0.5,0.1,0.62,,0.08645662677503467
4,1.3485406564519509,0.0008145062499999999,0.77,0.65,0.65,0.77,0.77,0.30000000000000004,0.4,0.77,,0.1944486891817832
5,0.4577613525820198,0.0007737809374999998,0.76,0.65,0.65,0.76,0.76,0.30000000000000004,0.4,0.76,,0.158466542382534
6,0.19888027726556173,0.0007350918906249997,0.75,0.65,0.65,0.75,0.75,0.2,0.3,0.75,,2.3147851960897063
7,1.1041851997637422,0.0006983372960937497,0.67,0.55,0.55,0.67,0.67,0.45,0.1,0.67,,0.44299778046926286
8,0.7868288804922485,0.0006634204312890621,0.78,0.65,0.65,0.78,0.78,0.25,0.4,0.78,,1.085895502904972
9,0.879751941486029,0.000630249409724609,0.71,0.65,0.65,0.71,0.71,0.5,0.4,0.71,,0.8704806662440105
10,0.4678060429403558,0.0005987369392383785,0.72,0.65,0.65,0.72,0.72,0.4,0.4,0.72,,0.8221185874652012
11,0.10147099475143477,0.0005688000922764595,0.72,0.65,0.65,0.72,0.72,0.5,0.4,0.72,,0.4625868162978433
12,0.4534419234842062,0.0005403600876626365,0.71,0.65,0.65,0.71,0.71,0.4,0.4,0.71,,0.5384514303151668
13,0.10926005492801778,0.0005133420832795047,0.72,0.65,0.65,0.72,0.72,0.45,0.4,0.72,,1.459400834267379
14,0.3883108357491437,0.00048767497911552944,0.7,0.65,0.65,0.7,0.7,0.45,0.4,0.7,,0.6723168785695567
15,0.26839111968001816,0.00046329123015975297,0.72,0.65,0.65,0.72,0.72,0.45,0.4,0.72,,0.6410443000552644
16,0.02962796374922618,0.0004401266686517653,0.73,0.65,0.65,0.73,0.73,0.45,0.4,0.73,,0.8065052955757864
17,0.059932238020701335,0.00041812033521917703,0.7,0.65,0.65,0.7,0.7,0.45,0.4,0.7,,1.0626942643275665
18,0.05076659213809762,0.00039721431845821814,0.71,0.65,0.65,0.71,0.71,0.45,0.4,0.71,,0.6234869491140047
19,0.014856131715350784,0.0003773536025353072,0.71,0.65,0.65,0.71,0.71,0.45,0.4,0.71,,0.8456395185800242
20,0.004413371661212295,0.0003584859224085418,0.7,0.65,0.65,0.7,0.7,0.45,0.4,0.7,,0.8302224685784202
21,0.044756088359281423,0.0003405616262881147,0.71,0.65,0.65,0.71,0.71,0.45,0.4,0.71,,0.8048906995898133
22,0.001394482169416733,0.00032353354497370894,0.71,0.65,0.65,0.71,0.71,0.45,0.4,0.71,,1.253717643222344
23,0.002904296689666808,0.00030735686772502346,0.71,0.65,0.65,0.71,0.71,0.45,0.4,0.71,,0.9390654085241791
24,0.002973098115762696,0.00029198902433877225,0.71,0.65,0.65,0.71,0.71,0.45,0.4,0.71,,0.8605943666958055
25,0.0020906505233142525,0.00027738957312183364,0.71,0.65,0.65,0.71,0.71,0.45,0.4,0.71,,1.0127215163182517
26,0.002823197958059609,0.0002635200944657419,0.72,0.65,0.65,0.72,0.72,0.45,0.4,0.72,,0.9043081608377042
27,0.003501008788589388,0.0002503440897424548,0.72,0.65,0.65,0.72,0.72,0.45,0.4,0.72,,0.8436572752170672
28,0.001235419709701091,0.00023782688525533205,0.73,0.65,0.65,0.73,0.73,0.45,0.4,0.73,,0.9080116835491739
29,0.0011199226748431102,0.00022593554099256544,0.73,0.65,0.65,0.73,0.73,0.45,0.4,0.73,,0.7904304983122312
