epoch,train_loss,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean
1,6.981806375272572,0.00095,0.6467,0.53,0.53,0.6467,0.6467,0.39,0.11,0.6467,,6.521903905793218e-07
2,0.7829234313964843,0.0009025,0.6474,0.535,0.5349999999999999,0.6474,0.6474,0.38,0.12,0.6474,,1.2281567535077243e-06
3,0.7816071552038193,0.000857375,0.6575,0.545,0.5449999999999999,0.6575,0.6575,0.395,0.14,0.6575,,2.677305292753624e-06
4,0.7840647253394127,0.0008145062499999999,0.6638,0.525,0.525,0.6638,0.6638,0.375,0.1,0.6638,,4.413644858192915e-06
5,0.8730387510359288,0.0007737809374999998,0.4216,0.505,0.505,0.4216,0.4216,0.54,0.06,0.4216,,1.5607100035114566e-07
6,0.7822992739081382,0.0007350918906249997,0.4552,0.5,0.5,0.4552,0.4552,0.52,0.05,0.4552,,9.988619097378249e-07
7,0.7870209896564484,0.0006983372960937497,0.5788000000000001,0.49,0.49,0.5788000000000001,0.5788000000000001,0.45499999999999996,0.03,0.5788000000000001,,0.00010566521901140309
8,0.7894329081475735,0.0006634204312890621,0.4973,0.49,0.49,0.4973,0.4973,0.515,0.03,0.4973,,3.612460071127571e-06
9,0.8374875314533711,0.000630249409724609,0.5749,0.53,0.53,0.5749,0.5749,0.44499999999999995,0.11,0.5749,,0.0003270150346901865
10,0.7856234320998192,0.0005987369392383785,0.5975,0.53,0.53,0.5975,0.5975,0.42999999999999994,0.11,0.5975,,1.8954138512435373e-06
11,0.7836565226316452,0.0005688000922764595,0.6476999999999999,0.53,0.53,0.6476999999999999,0.6476999999999999,0.41500000000000004,0.11,0.6476999999999999,,3.090800149554611e-07
12,0.7855581730604172,0.0005403600876626365,0.6413000000000001,0.53,0.53,0.6413000000000001,0.6413000000000001,0.4,0.11,0.6413000000000001,,1.2787623858595137e-06
13,0.8463421526551247,0.0005133420832795047,0.5714999999999999,0.51,0.51,0.5714999999999999,0.5714999999999999,0.44499999999999995,0.09,0.5714999999999999,,1.0915960323482089e-07
14,0.7853710275888443,0.00048767497911552944,0.5564,0.52,0.52,0.5564,0.5564,0.475,0.09,0.5564,,3.688790537496965e-07
15,0.783996242582798,0.00046329123015975297,0.5545,0.485,0.485,0.5545,0.5545,0.43000000000000005,0.03,0.5545,,3.475919051817383e-08
16,0.7828910699486733,0.0004401266686517653,0.5823,0.51,0.51,0.5823,0.5823,0.43499999999999994,0.07,0.5823,,1.5014783113008331e-05
17,0.8249237668141722,0.00041812033521917703,0.5719000000000001,0.505,0.505,0.5719000000000001,0.5719000000000001,0.44999999999999996,0.08,0.5719000000000001,,1.66210904461699e-08
18,0.7867729508876801,0.00039721431845821814,0.5817000000000001,0.555,0.5549999999999999,0.5817000000000001,0.5817000000000001,0.45499999999999996,0.18,0.5817000000000001,,3.790023489970973e-08
19,0.783824887573719,0.0003773536025353072,0.5748,0.525,0.525,0.5748,0.5748,0.43999999999999995,0.1,0.5748,,2.20451088547119e-07
20,0.7821817380189896,0.0003584859224085418,0.5840000000000001,0.545,0.5449999999999999,0.5840000000000001,0.5840000000000001,0.45999999999999996,0.14,0.5840000000000001,,7.803280763557168e-06
21,0.7857243409752845,0.0003405616262881147,0.57565,0.53,0.53,0.57565,0.57565,0.46499999999999997,0.11,0.57565,,2.323143452961583e-09
22,0.783613851070404,0.00032353354497370894,0.5726000000000002,0.53,0.53,0.5726000000000002,0.5726000000000002,0.46499999999999997,0.12,0.5726000000000002,,3.8691698619546534e-09
23,0.7824330276250839,0.00030735686772502346,0.5293,0.525,0.525,0.5293,0.5293,0.47,0.1,0.5293,,1.3515737390458835e-08
24,0.7815961277484894,0.00029198902433877225,0.5814999999999999,0.52,0.52,0.5814999999999999,0.5814999999999999,0.43000000000000005,0.09,0.5814999999999999,,1.1415141929731943e-06
25,0.7814007705450058,0.00027738957312183364,0.5851,0.53,0.53,0.5851,0.5851,0.42000000000000004,0.11,0.5851,,8.495339438641268e-06
26,0.8265973855182529,0.0002635200944657419,0.5272000000000001,0.485,0.485,0.5272000000000001,0.5272000000000001,0.48,0.02,0.5272000000000001,,1.7627270014445916e-06
27,0.7869758474826812,0.0002503440897424548,0.42360000000000003,0.49,0.49,0.42360000000000003,0.42360000000000003,0.5800000000000001,0.03,0.42360000000000003,,1.627684182350266e-05
28,0.7760261998698116,0.00023782688525533205,0.4773,0.495,0.495,0.4773,0.4773,0.485,0.04,0.4773,,0.0050136412043100265
29,0.7770090582966804,0.00022593554099256544,0.5018,0.505,0.505,0.5018,0.5018,0.46499999999999997,0.06,0.5018,,0.0024391323353466408
30,0.7746505402028561,0.00021463876394293716,0.40265,0.495,0.495,0.40265,0.40265,0.55,0.04,0.40265,,0.047127224538619596
