epoch,train_loss,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean,stage1_saturated,stage2_saturated,stage3_saturated,stage3_output_std
1,2.374950106330216,9.5e-05,0.629,0.53,0.53,0.629,0.629,0.42000000000000004,0.11,0.629,,0.3881098060922687,0.0,0.0,0.0,0.19405031204223633
2,1.5640120154246688,9.025e-05,0.4953,0.535,0.5349999999999999,0.4953,0.4953,0.515,0.12,0.4953,,0.26710998175194334,0.0,0.0,0.0,0.21624167263507843
3,1.2779863542690872,8.573749999999999e-05,0.5589000000000001,0.51,0.51,0.5589000000000001,0.5589000000000001,0.48,0.07,0.5589000000000001,,0.18318434333881567,0.0,0.0,0.0,0.24149715900421143
4,1.2240079157426953,8.145062499999998e-05,0.6061000000000001,0.545,0.5449999999999999,0.6061000000000001,0.6061000000000001,0.41500000000000004,0.14,0.6061000000000001,,0.20874877965173025,0.0,0.0,0.0,0.25515469908714294
5,1.112631263099611,7.737809374999998e-05,0.6837,0.58,0.58,0.6837,0.6837,0.36,0.21,0.6837,,0.13964137592548184,0.0,0.0,0.0,0.2685134708881378
6,0.9325448619574308,7.350918906249998e-05,0.7089,0.565,0.565,0.7089,0.7089,0.35,0.18,0.7089,,0.18457299275345312,0.0,0.0,0.0,0.27058717608451843
7,0.8602105592563748,6.983372960937497e-05,0.6588999999999999,0.52,0.52,0.6588999999999999,0.6588999999999999,0.37,0.09,0.6588999999999999,,0.2011247952938301,0.0,0.0,0.018530474975705147,0.2644386887550354
8,0.7793505292758346,6.634204312890622e-05,0.7064999999999999,0.525,0.525,0.7064999999999999,0.7064999999999999,0.33999999999999997,0.1,0.7064999999999999,,0.272109958504608,0.0,0.0,0.0,0.2583174407482147
9,0.6004476136341691,6.30249409724609e-05,0.7167999999999999,0.53,0.53,0.7167999999999999,0.7167999999999999,0.31999999999999995,0.11,0.7167999999999999,,0.26142227548293856,0.0,0.0,0.0,0.2570652663707733
10,0.5974067172780633,5.987369392383786e-05,0.6697,0.525,0.525,0.6697,0.6697,0.33499999999999996,0.1,0.6697,,0.26898296138988853,0.0,0.0,0.0,0.25354740023612976
11,0.5004417392984033,5.688000922764596e-05,0.6566,0.515,0.515,0.6566,0.6566,0.365,0.08,0.6566,,0.40636650309182015,0.0,0.0,0.0,0.24888209998607635
12,0.4345476450026035,5.4036008766263664e-05,0.6880000000000001,0.53,0.53,0.6880000000000001,0.6880000000000001,0.38,0.11,0.6880000000000001,,0.31105892608441554,0.0,0.0,0.0,0.23734523355960846
13,0.43746132057160136,5.133420832795048e-05,0.6884,0.515,0.515,0.6884,0.6884,0.32999999999999996,0.08,0.6884,,0.2813139516943106,0.0,0.0,0.0,0.238596111536026
14,0.40693720992654564,4.876749791155295e-05,0.6684,0.51,0.51,0.6684,0.6684,0.37,0.07,0.6684,,0.28505270403622923,0.0,0.0,0.0,0.23801811039447784
15,0.35913888409733774,4.6329123015975305e-05,0.6536,0.49,0.49,0.6536,0.6536,0.37,0.03,0.6536,,0.3043304175460123,0.0,0.0,0.0,0.2315741628408432
16,0.3161285136640072,4.4012666865176535e-05,0.6225,0.49,0.49,0.6225,0.6225,0.4,0.03,0.6225,,0.3466080169556732,0.0,0.0,0.0,0.22760900855064392
17,0.32104654878377914,4.181203352191771e-05,0.6537,0.49,0.49,0.6537,0.6537,0.37,0.04,0.6537,,0.33059438859730317,0.0,0.0,0.0,0.22570618987083435
18,0.21847740754485132,3.972143184582182e-05,0.6593,0.495,0.495,0.6593,0.6593,0.36,0.04,0.6593,,0.35149983618551967,0.0,0.0,0.0,0.22475028038024902
19,0.17326310958713292,3.7735360253530726e-05,0.6414,0.49,0.49,0.6414,0.6414,0.37,0.03,0.6414,,0.37158315611007076,0.0,0.0,0.0,0.21838238835334778
20,0.16449864905327558,3.584859224085419e-05,0.6414,0.495,0.495,0.6414,0.6414,0.4,0.04,0.6414,,0.42288918936342523,0.0,0.0,0.0,0.21538753807544708
21,0.18627399262040853,3.405616262881148e-05,0.6496999999999999,0.495,0.495,0.6496999999999999,0.6496999999999999,0.4,0.04,0.6496999999999999,,0.4079189789011476,0.0,0.0,0.0,0.21523453295230865
22,0.14509264260530472,3.2353354497370904e-05,0.6498,0.52,0.52,0.6498,0.6498,0.405,0.09,0.6498,,0.4358761895848848,0.0,0.0,0.0,0.21112781763076782
23,0.150389057174325,3.0735686772502355e-05,0.6476000000000001,0.5,0.5,0.6476000000000001,0.6476000000000001,0.39,0.05,0.6476000000000001,,0.4216195136046424,0.0,0.0,0.0,0.20995691418647766
24,0.15229471031576394,2.9198902433877236e-05,0.653,0.505,0.505,0.653,0.653,0.38,0.06,0.653,,0.45629938212406657,0.0,0.0,0.0,0.20978614687919617
25,0.11803840558975935,2.7738957312183373e-05,0.6503,0.495,0.495,0.6503,0.6503,0.385,0.04,0.6503,,0.4510236241341906,0.0,0.0,0.0,0.2050681859254837
26,0.12295788623392583,2.6352009446574204e-05,0.6616,0.495,0.495,0.6616,0.6616,0.38,0.04,0.6616,,0.4609022496043425,0.0,0.0,0.0,0.20494616031646729
27,0.13575320038944483,2.5034408974245492e-05,0.6517,0.5,0.5,0.6517,0.6517,0.39,0.05,0.6517,,0.4478921729716134,0.0,0.0,0.0,0.20490190386772156
28,0.13979814056307077,2.3782688525533216e-05,0.6537,0.5,0.5,0.6537,0.6537,0.375,0.05,0.6537,,0.4895780609747299,0.0,0.0,0.0,0.20471790432929993
29,0.1223672480136156,2.2593554099256555e-05,0.6405,0.5,0.5,0.6405,0.6405,0.385,0.05,0.6405,,0.4776010003942113,0.0,0.0,0.0,0.20249223709106445
30,0.1257586070150137,2.1463876394293726e-05,0.6335999999999999,0.5,0.5,0.6335999999999999,0.6335999999999999,0.37,0.06,0.6335999999999999,,0.49767219546963715,0.0,0.0,0.0,0.20150910317897797
