epoch,train_loss,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean,stage1_saturated,stage2_saturated,stage3_saturated,stage3_output_std
1,2.9932502184435723,9.5e-05,0.5653999999999999,0.51,0.51,0.5653999999999999,0.5653999999999999,0.43000000000000005,0.07,0.5653999999999999,,0.8793468699738702,0.0,0.0,0.0,0.363956093788147
2,1.739099100753665,9.025e-05,0.6293,0.515,0.515,0.6293,0.6293,0.405,0.08,0.6293,,1.2020662584381907,0.0,0.009595667943358421,0.016980888321995735,0.7612242102622986
3,1.3129286784678698,8.573749999999999e-05,0.6223000000000001,0.535,0.5349999999999999,0.6223000000000001,0.6223000000000001,0.42000000000000004,0.12,0.6223000000000001,,1.0573070914444973,0.0,0.0,0.000355113617843017,0.6121485233306885
4,1.2516267584636807,8.145062499999998e-05,0.6319,0.505,0.505,0.6319,0.6319,0.37,0.06,0.6319,,1.08858868360688,0.0,0.0161936916410923,0.028239604085683823,0.8127897381782532
5,0.7203817793726921,7.737809374999998e-05,0.6727,0.575,0.575,0.6727,0.6727,0.405,0.21,0.6727,,1.2602681856226223,0.009530053474009037,0.027387302368879318,0.06318601220846176,1.0279141664505005
6,0.5760952070727945,7.350918906249998e-05,0.6593,0.52,0.52,0.6593,0.6593,0.38,0.09,0.6593,,1.0655044871390265,0.0,0.02253139764070511,0.054243605583906174,0.9516246914863586
7,0.3801845549792051,6.983372960937497e-05,0.6415000000000001,0.51,0.51,0.6415000000000001,0.6415000000000001,0.43000000000000005,0.07,0.6415000000000001,,1.0251200770806626,0.0,0.023154154419898987,0.04632618650794029,0.8909949064254761
8,0.4344460316374898,6.634204312890622e-05,0.6509,0.505,0.505,0.6509,0.6509,0.395,0.06,0.6509,,0.9951858302972725,0.0,0.019191335886716843,0.04618898406624794,0.8770351409912109
9,0.3981256318092346,6.30249409724609e-05,0.6764,0.58,0.58,0.6764,0.6764,0.365,0.21,0.6764,,1.424949617730528,0.010326361283659935,0.03732739016413689,0.0910705029964447,1.108375906944275
10,0.24823412965983152,5.987369392383786e-05,0.6338999999999999,0.545,0.5449999999999999,0.6338999999999999,0.6338999999999999,0.395,0.14,0.6338999999999999,,1.4946330507285301,0.01002651359885931,0.03255158290266991,0.06455804407596588,1.0172100067138672
11,0.2055684194713831,5.688000922764596e-05,0.6349,0.53,0.53,0.6349,0.6349,0.4,0.11,0.6349,,1.2354605412124409,0.010886604897677898,0.02930363267660141,0.049683623015880585,0.9491247534751892
