epoch,train_loss,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean,stage1_saturated,stage2_saturated,stage3_saturated,stage3_output_std
1,2.3744565495476126,9.5e-05,0.3803921568627451,0.4479166666666667,0.47647058823529415,0.3803921568627451,0.3803921568627451,0.5830065359477123,0.0196078431372549,0.3803921568627451,,0.25224207416082195,0.0,0.0,0.0,0.1950899362564087
2,1.562376798428595,9.025e-05,0.4723311546840958,0.46875,0.49607843137254903,0.4723311546840958,0.4723311546840958,0.5202614379084967,0.0392156862745098,0.4723311546840958,,0.16839374605982765,0.0,0.0,0.0,0.21500955522060394
3,1.2746293418854475,8.573749999999999e-05,0.5211328976034859,0.5,0.5254901960784314,0.5211328976034859,0.5211328976034859,0.48954248366013076,0.11764705882352941,0.5211328976034859,,0.12183516590403656,0.0,0.0,0.0,0.2419922798871994
4,1.2238528732210399,8.145062499999998e-05,0.5965141612200435,0.46875,0.49607843137254903,0.5965141612200435,0.5965141612200435,0.40588235294117647,0.0392156862745098,0.5965141612200435,,0.133870249830875,0.0,0.0,0.0,0.2541709244251251
5,1.1089750092849135,7.737809374999998e-05,0.4967320261437909,0.4583333333333333,0.48627450980392156,0.4967320261437909,0.4967320261437909,0.44901960784313727,0.0392156862745098,0.4967320261437909,,0.08168795840743769,0.0,0.0,0.0,0.2678615152835846
6,0.9277652557939291,7.350918906249998e-05,0.5089324618736383,0.5104166666666666,0.5352941176470588,0.5089324618736383,0.5089324618736383,0.5202614379084967,0.11764705882352941,0.5089324618736383,,0.11882219745394654,0.0,0.0,0.00037730822805315256,0.26998209953308105
7,0.8475057130306959,6.983372960937497e-05,0.481917211328976,0.46875,0.49607843137254903,0.481917211328976,0.481917211328976,0.48823529411764705,0.058823529411764705,0.481917211328976,,0.12637925886768336,0.0,0.0,0.020332273095846176,0.26333847641944885
8,0.7706939187645913,6.634204312890622e-05,0.5137254901960784,0.46875,0.49607843137254903,0.5137254901960784,0.5137254901960784,0.46862745098039216,0.058823529411764705,0.5137254901960784,,0.17867117598410803,0.0,0.0,0.0,0.25570493936538696
9,0.5962782495096326,6.30249409724609e-05,0.5159041394335513,0.4895833333333333,0.515686274509804,0.5159041394335513,0.5159041394335513,0.48954248366013076,0.09803921568627451,0.5159041394335513,,0.14311583534137517,0.0,0.0,0.0,0.2555624544620514
10,0.5980666401982307,5.987369392383786e-05,0.5076252723311547,0.4583333333333333,0.48627450980392156,0.5076252723311547,0.5076252723311547,0.4366013071895425,0.0392156862745098,0.5076252723311547,,0.15335666449869878,0.0,0.0,0.0,0.2519760727882385
11,0.5039074156433344,5.688000922764596e-05,0.515032679738562,0.4479166666666667,0.47647058823529415,0.515032679738562,0.515032679738562,0.49084967320261436,0.0196078431372549,0.515032679738562,,0.23706096910281027,0.0,0.0,0.0,0.2479107826948166
12,0.4441002111509442,5.4036008766263664e-05,0.5198257080610021,0.46875,0.49607843137254903,0.5198257080610021,0.5198257080610021,0.5117647058823529,0.058823529411764705,0.5198257080610021,,0.16980535751381173,0.0,0.0,0.0,0.23626570403575897
