epoch,train_loss,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean,stage1_saturated,stage2_saturated,stage3_saturated,stage3_output_std
1,2.9589257687330246,9.5e-05,0.4409586056644881,0.46875,0.49607843137254903,0.4409586056644881,0.4409586056644881,0.5313725490196078,0.058823529411764705,0.4409586056644881,,0.9654510680771845,0.0,0.0,0.0,0.3309282064437866
2,1.9752010667324067,9.025e-05,0.5372549019607843,0.4791666666666667,0.5058823529411764,0.5372549019607843,0.5372549019607843,0.43790849673202614,0.0784313725490196,0.5372549019607843,,0.9139559056973527,0.0,0.0,0.0,0.2868569493293762
3,1.5049428848922253,8.573749999999999e-05,0.46928104575163393,0.4583333333333333,0.48627450980392156,0.46928104575163393,0.46928104575163393,0.5313725490196078,0.0392156862745098,0.46928104575163393,,0.6652519150211346,0.0,0.0,0.0,0.3123014271259308
4,1.1394573174789548,8.145062499999998e-05,0.5616557734204792,0.4583333333333333,0.48627450980392156,0.5616557734204792,0.5616557734204792,0.4601307189542484,0.0392156862745098,0.5616557734204792,,0.7204732129116296,0.0,0.000857542734593153,0.0,0.4551292657852173
5,0.8065786059945822,7.737809374999998e-05,0.5498910675381263,0.5104166666666666,0.5352941176470588,0.5498910675381263,0.5498910675381263,0.5117647058823529,0.13725490196078433,0.5498910675381263,,0.7506662637050286,0.0,0.0,0.0,0.39115065336227417
6,0.877530287578702,7.350918906249998e-05,0.5119825708061002,0.46875,0.49607843137254903,0.5119825708061002,0.5119825708061002,0.48954248366013076,0.058823529411764705,0.5119825708061002,,0.4997557170626466,0.0,0.0,0.00013114992179907858,0.48388540744781494
7,0.6354872030764818,6.983372960937497e-05,0.4845315904139434,0.46875,0.49607843137254903,0.4845315904139434,0.4845315904139434,0.5006535947712418,0.058823529411764705,0.4845315904139434,,0.6311040144510496,0.0,0.001236003008671105,0.0,0.40464743971824646
8,0.5738089123740793,6.634204312890622e-05,0.5220043572984749,0.4895833333333333,0.515686274509804,0.5220043572984749,0.5220043572984749,0.42810457516339867,0.09803921568627451,0.5220043572984749,,0.6457021360109763,0.0,1.0012174698204035e-06,0.0,0.4165472388267517
9,0.552885247990489,6.30249409724609e-05,0.5320261437908496,0.5,0.5254901960784314,0.5320261437908496,0.5320261437908496,0.4588235294117647,0.058823529411764705,0.5320261437908496,,0.6409284433391904,0.0,0.0009396426030434668,6.053072866052389e-06,0.4841735363006592
10,0.35495878852903845,5.987369392383786e-05,0.5215686274509804,0.4583333333333333,0.48627450980392156,0.5215686274509804,0.5215686274509804,0.44771241830065356,0.0392156862745098,0.5215686274509804,,0.6020011393346888,0.0,0.000651792564895004,3.8336129364324734e-05,0.4946330487728119
11,0.43825351040810345,5.688000922764596e-05,0.547276688453159,0.5,0.5254901960784314,0.547276688453159,0.547276688453159,0.48954248366013076,0.11764705882352941,0.547276688453159,,0.6707164863222642,0.0,0.0,4.035382062284043e-06,0.4241577088832855
12,0.32464602194726466,5.4036008766263664e-05,0.5220043572984749,0.5,0.5254901960784314,0.5220043572984749,0.5220043572984749,0.4673202614379085,0.09803921568627451,0.5220043572984749,,0.6385243827939597,0.0,4.0048696973826736e-05,0.0,0.4820309281349182
