epoch,train_loss,skipped_training_clips,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean,stage1_saturated,stage2_saturated,stage3_saturated,stage3_output_std
1,1.541952061150055,0,9.5e-05,0.5864397590361445,0.18782161234991424,0.5038915662650603,0.5864397590361445,0.5864397590361445,0.4038072289156627,0.062,,,,,,,
2,0.8932391830565098,0,9.025e-05,0.5544457831325302,0.1758147512864494,0.49689156626506026,0.5544457831325302,0.5544457831325302,0.45891566265060235,0.046,,,,,,,
3,0.7381774772533434,0,8.573749999999999e-05,0.5660421686746988,0.1732418524871355,0.49539156626506026,0.5660421686746988,0.5660421686746988,0.4378795180722892,0.043,,,,,,,
4,0.7062427618558572,0,8.145062499999998e-05,0.6068373493975904,0.2058319039451115,0.5143915662650602,0.6068373493975904,0.6068373493975904,0.42434337349397594,0.083,,,,,,,
5,0.665179562126263,0,7.737809374999998e-05,0.5838253012048192,0.20497427101200685,0.5138915662650603,0.5838253012048192,0.5838253012048192,0.4463915662650602,0.081,,,,,,,
6,0.6707531064375302,0,7.350918906249998e-05,0.645355421686747,0.274442538593482,0.5543915662650603,0.645355421686747,0.645355421686747,0.40981927710843374,0.156,,,,,,,
7,0.6456022320418671,0,6.983372960937497e-05,0.6126144578313253,0.22898799313893653,0.5278915662650603,0.6126144578313253,0.6126144578313253,0.41681927710843375,0.102,,,,,,,
8,0.6571014272319423,0,6.634204312890622e-05,0.6032168674698795,0.22298456260720412,0.5243915662650602,0.6032168674698795,0.6032168674698795,0.4348674698795181,0.101,,,,,,,
9,0.6495200953387975,0,6.30249409724609e-05,0.5659879518072289,0.20497427101200685,0.5138915662650603,0.5659879518072289,0.5659879518072289,0.4594156626506024,0.082,,,,,,,
10,0.6464084146108756,0,5.987369392383786e-05,0.6282289156626506,0.24528301886792453,0.5373915662650602,0.6282289156626506,0.6282289156626506,0.4033072289156627,0.126,,,,,,,
