epoch,train_loss,skipped_training_clips,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean,stage1_saturated,stage2_saturated,stage3_saturated,stage3_output_std
1,18.593781760505014,1,9.5e-05,0.5974698795180723,0.2006861063464837,0.5113915662650602,0.5974698795180723,0.5974698795180723,0.427855421686747,0.073,,0.5974698795180723,0.8985526888316697,0.00020287500228732824,0.006501065567135811,0.012599967420101166,0.668813169002533
2,18.51242725165908,2,9.025e-05,0.5759337349397591,0.19897084048027444,0.5103915662650602,0.5759337349397591,0.5759337349397591,0.4564156626506024,0.07,,0.5759337349397591,0.904717168743713,0.0026717500295490026,0.006608044728636742,0.012143468484282494,0.6666004657745361
3,18.478725274722418,2,8.573749999999999e-05,0.6010240963855422,0.2624356775300172,0.5473915662650602,0.6010240963855422,0.6010240963855422,0.4448915662650602,0.146,,0.6010240963855422,1.126951291891948,0.006776750087738037,0.011910639703273773,0.017661912366747856,0.7856456637382507
4,18.44949325164398,1,8.145062499999998e-05,0.6063614457831326,0.2787307032590051,0.5568915662650602,0.6063614457831326,0.6063614457831326,0.4338674698795181,0.167,,0.6063614457831326,1.243862970515179,0.009673374705016613,0.012047544121742249,0.018735265359282494,0.7813596129417419
5,18.439850134457757,2,7.737809374999998e-05,0.6102409638554217,0.26157804459691253,0.5468915662650602,0.6102409638554217,0.6102409638554217,0.41433132530120487,0.147,,0.6102409638554217,1.0037118800044582,0.004975125193595886,0.009671924635767937,0.015801243484020233,0.7506805062294006
6,18.439799167350202,2,7.350918906249998e-05,0.6138072289156626,0.2555746140651801,0.5433915662650602,0.6138072289156626,0.6138072289156626,0.41633132530120487,0.139,,0.6138072289156626,1.1360571179099237,0.006020000204443932,0.011340955272316933,0.01691937819123268,0.771595299243927
7,18.436367967563545,2,6.983372960937497e-05,0.6262108433734941,0.2847341337907376,0.5603915662650603,0.6262108433734941,0.6262108433734941,0.41633132530120487,0.17,,0.6262108433734941,0.8235327268647731,0.0002209999947808683,0.0056096939370036125,0.01092709880322218,0.6318888068199158
8,18.432109251767695,2,6.634204312890622e-05,0.6293614457831325,0.2770154373927959,0.5558915662650602,0.6293614457831325,0.6293614457831325,0.41481927710843375,0.166,,0.6293614457831325,0.9180935147970829,0.0025616250932216644,0.0069263651967048645,0.012403499335050583,0.653056263923645
9,18.42983606508425,1,6.30249409724609e-05,0.6568795180722891,0.3096054888507719,0.5748915662650602,0.6568795180722891,0.6568795180722891,0.3902831325301205,0.2,,0.6568795180722891,0.894573507299863,0.002742124954238534,0.008173836395144463,0.014148599468171597,0.706010639667511
10,18.42722074644224,1,5.987369392383786e-05,0.617132530120482,0.24614065180102915,0.5378915662650603,0.617132530120482,0.617132530120482,0.429355421686747,0.126,,0.617132530120482,1.0679792632473069,0.007067000027745962,0.011343947611749172,0.01724008470773697,0.757490873336792
11,18.42906518641837,2,5.688000922764596e-05,0.632710843373494,0.2521440823327616,0.5413915662650602,0.632710843373494,0.632710843373494,0.40781927710843374,0.136,,0.632710843373494,0.9041081629563911,0.001274749985896051,0.00683322548866272,0.012796436436474323,0.7031377553939819
12,18.42797757341771,2,5.4036008766263664e-05,0.6408132530120482,0.274442538593482,0.5543915662650603,0.6408132530120482,0.6408132530120482,0.3982951807228916,0.163,,0.6408132530120482,1.0183189455811361,0.0059003750793635845,0.009471805766224861,0.015323074534535408,0.7467464804649353
13,18.426787169997343,2,5.133420832795048e-05,0.6387710843373494,0.2950257289879931,0.5663915662650603,0.6387710843373494,0.6387710843373494,0.40831927710843374,0.185,,0.6387710843373494,0.9099528907826863,0.003998375032097101,0.00836497824639082,0.014235276728868484,0.6917997598648071
14,18.42558822555389,2,4.876749791155295e-05,0.6292469879518072,0.27358490566037735,0.5538915662650602,0.6292469879518072,0.6292469879518072,0.430355421686747,0.159,,0.6292469879518072,1.1004760832585616,0.007421624846756458,0.012141057290136814,0.01798117347061634,0.7667718529701233
15,18.4228952900919,2,4.6329123015975305e-05,0.628801204819277,0.2521440823327616,0.5413915662650602,0.628801204819277,0.628801204819277,0.4048072289156627,0.137,,0.628801204819277,1.00839833873487,0.0021626250818371773,0.00961357168853283,0.015331742353737354,0.7349980473518372
16,18.42252656023106,2,4.4012666865176535e-05,0.6058734939759036,0.25128644939965694,0.5408915662650602,0.6058734939759036,0.6058734939759036,0.4378674698795181,0.135,,0.6058734939759036,0.880574500106226,0.0020382499787956476,0.00619396660476923,0.010940100066363811,0.6459134221076965
17,18.425315761375046,2,4.181203352191771e-05,0.6255,0.27530017152658665,0.5548915662650602,0.6255,0.6255,0.42084337349397594,0.157,,0.6255,0.9521100909407368,0.00376725010573864,0.006991824600845575,0.012722760438919067,0.707442581653595
