epoch,train_loss,skipped_training_clips,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean,stage1_saturated,stage2_saturated,stage3_saturated,stage3_output_std
1,1.577802390437573,0,9.5e-05,0.4928104575163399,0.6774193548387096,0.4666666666666667,0.4928104575163399,0.4928104575163399,0.5830065359477123,0.0,,,,,,,
2,0.8570838622003794,0,9.025e-05,0.5098039215686274,0.6774193548387096,0.4666666666666667,0.5098039215686274,0.5098039215686274,0.5202614379084967,0.0,,,,,,,
3,0.733587179005146,0,8.573749999999999e-05,0.44313725490196076,0.6774193548387096,0.4666666666666667,0.44313725490196076,0.44313725490196076,0.5202614379084967,0.0,,,,,,,
4,0.7113404667973519,0,8.145062499999998e-05,0.538562091503268,0.7258064516129032,0.5549019607843138,0.538562091503268,0.538562091503268,0.47973856209150323,0.11764705882352941,,,,,,,
5,0.7051712327599525,0,7.737809374999998e-05,0.5516339869281046,0.7096774193548387,0.5254901960784314,0.5516339869281046,0.5516339869281046,0.41699346405228754,0.11764705882352941,,,,,,,
6,0.7002434014678002,0,7.350918906249998e-05,0.39346405228758163,0.6774193548387096,0.4666666666666667,0.39346405228758163,0.39346405228758163,0.634640522875817,0.0,,,,,,,
7,0.6980718249678611,0,6.983372960937497e-05,0.469281045751634,0.6774193548387096,0.4666666666666667,0.469281045751634,0.469281045751634,0.6052287581699347,0.0,,,,,,,
8,0.7014445987343788,0,6.634204312890622e-05,0.4248366013071896,0.6774193548387096,0.4666666666666667,0.4248366013071896,0.4248366013071896,0.5535947712418301,0.0,,,,,,,
9,0.6933680208325386,0,6.30249409724609e-05,0.5647058823529412,0.6774193548387096,0.4666666666666667,0.5647058823529412,0.5647058823529412,0.46862745098039216,0.0,,,,,,,
10,0.7021503692269325,0,5.987369392383786e-05,0.5555555555555556,0.6935483870967742,0.49607843137254903,0.5555555555555556,0.5555555555555556,0.47973856209150323,0.0,,,,,,,
11,0.696811190366745,0,5.688000922764596e-05,0.39869281045751637,0.6774193548387096,0.4666666666666667,0.39869281045751637,0.39869281045751637,0.634640522875817,0.0,,,,,,,
12,0.6972032245993615,0,5.4036008766263664e-05,0.5215686274509804,0.7096774193548387,0.5254901960784314,0.5215686274509804,0.5215686274509804,0.4980392156862745,0.11764705882352941,,,,,,,
13,0.6920295586585998,0,5.133420832795048e-05,0.4130718954248366,0.6774193548387096,0.4666666666666667,0.4130718954248366,0.4130718954248366,0.5647058823529412,0.0,,,,,,,
14,0.6967293472290039,0,4.876749791155295e-05,0.603921568627451,0.7096774193548387,0.5254901960784314,0.603921568627451,0.603921568627451,0.365359477124183,0.11764705882352941,,,,,,,
15,0.6925154203772544,0,4.6329123015975305e-05,0.37516339869281046,0.6774193548387096,0.4666666666666667,0.37516339869281046,0.37516339869281046,0.5830065359477123,0.0,,,,,,,
16,0.695607277750969,0,4.4012666865176535e-05,0.38823529411764707,0.6774193548387096,0.4666666666666667,0.38823529411764707,0.38823529411764707,0.5718954248366013,0.0,,,,,,,
17,0.692532631456852,0,4.181203352191771e-05,0.39346405228758174,0.6774193548387096,0.4666666666666667,0.39346405228758174,0.39346405228758174,0.5535947712418301,0.0,,,,,,,
18,0.6885223304033279,0,3.972143184582182e-05,0.47320261437908495,0.6774193548387096,0.4666666666666667,0.47320261437908495,0.47320261437908495,0.5091503267973856,0.0,,,,,,,
19,0.6885268760323524,0,3.7735360253530726e-05,0.45620915032679743,0.6774193548387096,0.4666666666666667,0.45620915032679743,0.45620915032679743,0.5313725490196078,0.0,,,,,,,
20,0.6902642834782601,0,3.584859224085419e-05,0.5019607843137255,0.6774193548387096,0.4666666666666667,0.5019607843137255,0.5019607843137255,0.46862745098039216,0.0,,,,,,,
21,0.6828844420909882,0,3.405616262881148e-05,0.46535947712418296,0.6935483870967742,0.49607843137254903,0.46535947712418296,0.46535947712418296,0.542483660130719,0.058823529411764705,,,,,,,
22,0.6856897314786911,0,3.2353354497370904e-05,0.45620915032679743,0.6774193548387096,0.4666666666666667,0.45620915032679743,0.45620915032679743,0.5202614379084967,0.0,,,,,,,
23,0.6853093513846398,0,3.0735686772502355e-05,0.5019607843137255,0.6774193548387096,0.4666666666666667,0.5019607843137255,0.5019607843137255,0.5202614379084967,0.0,,,,,,,
24,0.6799059827327728,0,2.9198902433877236e-05,0.33071895424836606,0.6774193548387096,0.4666666666666667,0.33071895424836606,0.33071895424836606,0.6568627450980391,0.0,,,,,,,
25,0.6849562830328941,0,2.7738957312183373e-05,0.4222222222222222,0.6935483870967742,0.49607843137254903,0.4222222222222222,0.4222222222222222,0.5313725490196078,0.0,,,,,,,
26,0.6801505835652352,0,2.6352009446574204e-05,0.38692810457516336,0.6774193548387096,0.4666666666666667,0.38692810457516336,0.38692810457516336,0.645751633986928,0.0,,,,,,,
