epoch,train_loss,skipped_training_clips,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean,stage1_saturated,stage2_saturated,stage3_saturated,stage3_output_std
1,1.6446752024348825,0,0.0001,0.5281045751633987,0.6935483870967742,0.49607843137254903,0.5281045751633987,0.5281045751633987,0.46862745098039216,0.058823529411764705,,,,,,,
2,2.058132275706157,0,0.0001,0.2535947712418301,0.6774193548387096,0.4666666666666667,0.2535947712418301,0.2535947712418301,0.6568627450980391,0.0,,,,,,,
3,1.439946639467962,0,0.0001,0.5411764705882353,0.7258064516129032,0.5549019607843138,0.5411764705882353,0.5411764705882353,0.4392156862745098,0.17647058823529413,,,,,,,
4,1.336433784570545,0,0.0001,0.4549019607843138,0.6774193548387096,0.4666666666666667,0.4549019607843138,0.4549019607843138,0.4392156862745098,0.0,,,,,,,
5,1.4562216194171924,0,0.0001,0.29673202614379085,0.6774193548387096,0.4666666666666667,0.29673202614379085,0.29673202614379085,0.6973856209150326,0.0,,,,,,,
6,1.4622098823310807,0,0.0001,0.5372549019607843,0.7258064516129032,0.5549019607843138,0.5372549019607843,0.5372549019607843,0.4130718954248366,0.17647058823529413,,,,,,,
7,1.2573630960541777,0,0.0001,0.4875816993464052,0.7258064516129032,0.5549019607843138,0.4875816993464052,0.4875816993464052,0.542483660130719,0.058823529411764705,,,,,,,
8,0.8583479991502827,0,0.0001,0.3777777777777778,0.6774193548387096,0.4666666666666667,0.3777777777777778,0.3777777777777778,0.5607843137254902,0.0,,,,,,,
9,0.9564488218165934,0,0.0001,0.3503267973856209,0.6774193548387096,0.4666666666666667,0.3503267973856209,0.3503267973856209,0.645751633986928,0.0,,,,,,,
10,1.3114351694923698,0,0.0001,0.526797385620915,0.6774193548387096,0.4666666666666667,0.526797385620915,0.526797385620915,0.39477124183006534,0.0,,,,,,,
11,1.050498667289503,0,0.0001,0.41307189542483663,0.6774193548387096,0.4666666666666667,0.41307189542483663,0.41307189542483663,0.5202614379084967,0.0,,,,,,,
12,0.9983052800016594,0,0.0001,0.5372549019607843,0.7096774193548387,0.5254901960784314,0.5372549019607843,0.5372549019607843,0.5313725490196078,0.0,,,,,,,
13,1.0085248528048396,0,0.0001,0.5215686274509804,0.7258064516129032,0.5549019607843138,0.5215686274509804,0.5215686274509804,0.5202614379084967,0.17647058823529413,,,,,,,
14,0.904216274706414,0,0.0001,0.4431372549019609,0.6774193548387096,0.4666666666666667,0.4431372549019609,0.4431372549019609,0.49084967320261436,0.0,,,,,,,
15,0.836473535047844,0,0.0001,0.5673202614379085,0.6774193548387096,0.4666666666666667,0.5673202614379085,0.5673202614379085,0.41699346405228754,0.0,,,,,,,
16,0.9039372563129291,0,0.0001,0.46013071895424834,0.6774193548387096,0.4666666666666667,0.46013071895424834,0.46013071895424834,0.46862745098039216,0.0,,,,,,,
17,0.7550791754038073,0,0.0001,0.4797385620915033,0.6774193548387096,0.4666666666666667,0.4797385620915033,0.4797385620915033,0.43529411764705883,0.0,,,,,,,
18,0.9102587780653266,0,0.0001,0.5045751633986928,0.6935483870967742,0.49607843137254903,0.5045751633986928,0.5045751633986928,0.4392156862745098,0.058823529411764705,,,,,,,
19,0.9214795408770442,0,0.0001,0.538562091503268,0.6774193548387096,0.4666666666666667,0.538562091503268,0.538562091503268,0.45751633986928103,0.0,,,,,,,
20,0.6460183722883812,0,0.0001,0.38300653594771245,0.7096774193548387,0.5254901960784314,0.38300653594771245,0.38300653594771245,0.634640522875817,0.058823529411764705,,,,,,,
21,0.8625450665131211,0,0.0001,0.5921568627450979,0.6774193548387096,0.4666666666666667,0.5921568627450979,0.5921568627450979,0.40588235294117647,0.0,,,,,,,
22,0.8067354249214986,0,0.0001,0.43137254901960786,0.6774193548387096,0.4666666666666667,0.43137254901960786,0.43137254901960786,0.47973856209150323,0.0,,,,,,,
23,0.6924941832548939,0,0.0001,0.5516339869281045,0.6774193548387096,0.4666666666666667,0.5516339869281045,0.5516339869281045,0.40588235294117647,0.0,,,,,,,
24,0.6475412398576736,0,0.0001,0.5790849673202614,0.7258064516129032,0.5549019607843138,0.5790849673202614,0.5790849673202614,0.46862745098039216,0.17647058823529413,,,,,,,
25,0.6726349323871545,0,0.0001,0.5084967320261438,0.7096774193548387,0.5254901960784314,0.5084967320261438,0.5084967320261438,0.47973856209150323,0.11764705882352941,,,,,,,
26,0.7731578954844736,0,0.0001,0.5568627450980392,0.6774193548387096,0.4666666666666667,0.5568627450980392,0.5568627450980392,0.49084967320261436,0.0,,,,,,,
27,0.7514472129987553,0,0.0001,0.5542483660130718,0.7096774193548387,0.5254901960784314,0.5542483660130718,0.5542483660130718,0.46862745098039216,0.11764705882352941,,,,,,,
28,0.6225849747715984,0,0.0001,0.4745098039215686,0.6774193548387096,0.4666666666666667,0.4745098039215686,0.4745098039215686,0.5718954248366013,0.0,,,,,,,
29,0.6113986662239768,0,0.0001,0.3908496732026144,0.6774193548387096,0.4666666666666667,0.3908496732026144,0.3908496732026144,0.542483660130719,0.0,,,,,,,
30,0.6704718348337337,0,0.0001,0.41568627450980394,0.6774193548387096,0.4666666666666667,0.41568627450980394,0.41568627450980394,0.47973856209150323,0.0,,,,,,,
31,0.754442046629265,0,0.0001,0.41437908496732023,0.6774193548387096,0.4666666666666667,0.41437908496732023,0.41437908496732023,0.5718954248366013,0.0,,,,,,,
32,0.5239512947155163,0,0.0001,0.41960784313725497,0.7096774193548387,0.5254901960784314,0.41960784313725497,0.41960784313725497,0.5607843137254902,0.058823529411764705,,,,,,,
33,0.6692253271467052,0,0.0001,0.5071895424836601,0.6774193548387096,0.4666666666666667,0.5071895424836601,0.5071895424836601,0.4464052287581699,0.0,,,,,,,
34,0.4787566162412986,0,0.0001,0.44836601307189544,0.6774193548387096,0.4666666666666667,0.44836601307189544,0.44836601307189544,0.46862745098039216,0.0,,,,,,,
35,0.7092167967930436,0,0.0001,0.5150326797385621,0.7096774193548387,0.5254901960784314,0.5150326797385621,0.5150326797385621,0.5091503267973856,0.11764705882352941,,,,,,,
36,0.6058767981448909,0,0.0001,0.5215686274509803,0.7096774193548387,0.5254901960784314,0.5215686274509803,0.5215686274509803,0.45751633986928103,0.11764705882352941,,,,,,,
37,0.5521432512032334,0,0.0001,0.47843137254901963,0.7096774193548387,0.5254901960784314,0.47843137254901963,0.47843137254901963,0.5718954248366013,0.058823529411764705,,,,,,,
38,0.5985171261709183,0,0.0001,0.4326797385620915,0.6774193548387096,0.4666666666666667,0.4326797385620915,0.4326797385620915,0.5941176470588235,0.0,,,,,,,
39,0.5633147632470354,0,0.0001,0.37908496732026137,0.6774193548387096,0.4666666666666667,0.37908496732026137,0.37908496732026137,0.634640522875817,0.0,,,,,,,
