epoch,train_loss,skipped_training_clips,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean,stage1_saturated,stage2_saturated,stage3_saturated,stage3_output_std
1,18.67238160133362,0,9.5e-05,0.7019607843137254,0.7258064516129032,0.5549019607843138,0.7019607843137254,0.7019607843137254,0.35424836601307186,0.17647058823529413,0.7019607843137254,,0.8322097904307362,4.293964593671262e-06,4.96965367347002e-05,0.0008400537772104144,0.881949782371521
2,18.547772706985473,0,9.025e-05,0.6143790849673203,0.7258064516129032,0.5549019607843138,0.6143790849673203,0.6143790849673203,0.37254901960784315,0.17647058823529413,0.6143790849673203,,0.8733634164607355,2.7757412226492306e-06,3.171031130477786e-05,0.003009133506566286,0.9074016213417053
3,18.49354776954651,0,8.573749999999999e-05,0.6196078431372549,0.6935483870967742,0.49607843137254903,0.6196078431372549,0.6196078431372549,0.3764705882352941,0.058823529411764705,0.6196078431372549,,0.8237859878374909,1.8709415599005297e-06,4.223779615131207e-05,0.0006529760430566967,0.8577467799186707
4,18.471943380355835,0,8.145062499999998e-05,0.645751633986928,0.7096774193548387,0.5254901960784314,0.645751633986928,0.645751633986928,0.4392156862745098,0.11764705882352941,0.645751633986928,,1.0527412957985967,6.5943022491410375e-06,6.363372813211754e-05,0.015595017932355404,1.0275806188583374
5,18.44828218460083,0,7.737809374999998e-05,0.592156862745098,0.6935483870967742,0.49607843137254903,0.592156862745098,0.592156862745098,0.40980392156862744,0.058823529411764705,0.592156862745098,,0.8170398950120467,2.699063315958483e-06,3.835924928807799e-07,0.0009518306469544768,0.8801062703132629
6,18.43829654121399,0,7.350918906249998e-05,0.6457516339869281,0.6935483870967742,0.49607843137254903,0.6457516339869281,0.6457516339869281,0.35424836601307186,0.058823529411764705,0.6457516339869281,,0.9571812431030265,5.996214440529002e-06,0.0001361753384117037,0.004646823741495609,0.9448267817497253
7,18.4308551197052,0,6.983372960937497e-05,0.6339869281045751,0.7258064516129032,0.5549019607843138,0.6339869281045751,0.6339869281045751,0.45751633986928103,0.17647058823529413,0.6339869281045751,,0.7549189567558948,2.177653414037195e-06,0.00024115180713124573,0.0006558775203302503,0.8106290698051453
8,18.429370615005492,0,6.634204312890622e-05,0.6261437908496733,0.6935483870967742,0.49607843137254903,0.6261437908496733,0.6261437908496733,0.3026143790849673,0.058823529411764705,0.6261437908496733,,0.8200498312050233,1.5642299331375398e-06,0.0,0.0019808965735137463,0.8797195553779602
9,18.424545513153078,0,6.30249409724609e-05,0.6104575163398692,0.6935483870967742,0.49607843137254903,0.6104575163398692,0.6104575163398692,0.365359477124183,0.058823529411764705,0.6104575163398692,,0.7227188974960042,2.1623177417495754e-06,0.0,0.0,0.8179161548614502
10,18.42514486312866,0,5.987369392383786e-05,0.6052287581699347,0.6935483870967742,0.49607843137254903,0.6052287581699347,0.6052287581699347,0.40588235294117647,0.058823529411764705,0.6052287581699347,,0.8543347360437098,2.1163109522603918e-06,2.2163121684570797e-06,0.0015353087801486254,0.8742727637290955
11,18.421336933135986,0,5.688000922764596e-05,0.661437908496732,0.6935483870967742,0.49607843137254903,0.661437908496732,0.661437908496732,0.273202614379085,0.058823529411764705,0.661437908496732,,0.7943418305930775,2.9290970360307256e-06,4.236566019244492e-05,0.0004993345937691629,0.8784887790679932
12,18.421416185379027,0,5.4036008766263664e-05,0.6274509803921569,0.6935483870967742,0.49607843137254903,0.6274509803921569,0.6274509803921569,0.3431372549019608,0.058823529411764705,0.6274509803921569,,0.8809383686252663,3.726547674887115e-06,8.822627023619134e-06,0.005458553321659565,0.9373089671134949
13,18.42011093711853,0,5.133420832795048e-05,0.6666666666666666,0.6935483870967742,0.49607843137254903,0.6666666666666666,0.6666666666666666,0.40588235294117647,0.058823529411764705,0.6666666666666666,,0.9119976223636523,6.0422212300181855e-06,0.00013255250814836472,0.0033696105238050222,0.9341256618499756
