epoch,train_loss,skipped_training_clips,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean,stage1_saturated,stage2_saturated,stage3_saturated,stage3_output_std
1,18.671590740203857,0,9.5e-05,0.6352941176470589,0.6935483870967742,0.49607843137254903,0.6352941176470589,0.6352941176470589,0.45032679738562087,0.058823529411764705,0.6352941176470589,,0.8606423107518087,0.0007333784596994519,4.6286826545838267e-05,0.0004544304101727903,0.7796212434768677
2,18.534623529434203,0,9.025e-05,0.6078431372549019,0.7258064516129032,0.5549019607843138,0.6078431372549019,0.6078431372549019,0.45751633986928103,0.11764705882352941,0.6078431372549019,,0.9286280127829147,0.00012046103802276775,2.5146619009319693e-05,0.0033403190318495035,0.8162479400634766
3,18.493778747558594,0,8.573749999999999e-05,0.6130718954248365,0.7580645161290323,0.6137254901960785,0.6130718954248365,0.6130718954248365,0.3836601307189542,0.29411764705882354,0.6130718954248365,,0.8176809547371313,0.00012541442993097007,3.3457788958912715e-05,0.0002035196084761992,0.7475974559783936
4,18.45929801750183,0,8.145062499999998e-05,0.5973856209150328,0.6935483870967742,0.49607843137254903,0.5973856209150328,0.5973856209150328,0.42810457516339867,0.058823529411764705,0.5973856209150328,,0.9471622406784547,0.0008988494519144297,3.67396351066418e-05,0.010613692924380302,0.8539575338363647
5,18.445583387374878,0,7.737809374999998e-05,0.6483660130718953,0.6935483870967742,0.49607843137254903,0.6483660130718953,0.6483660130718953,0.40588235294117647,0.058823529411764705,0.6483660130718953,,0.7900922639034162,0.0007931718719191849,2.5317103791167028e-05,0.00022051412088330835,0.7388373613357544
6,18.43923857307434,0,7.350918906249998e-05,0.6274509803921569,0.6935483870967742,0.49607843137254903,0.6274509803921569,0.6274509803921569,0.41699346405228754,0.058823529411764705,0.6274509803921569,,0.9617325331168287,0.00019939329649787396,0.000105360071756877,0.004729861859232187,0.8484904766082764
7,18.432170598983763,0,6.983372960937497e-05,0.6614379084967321,0.7580645161290323,0.6137254901960785,0.6614379084967321,0.6614379084967321,0.3026143790849673,0.29411764705882354,0.6614379084967321,,0.8459787388603623,0.0001340176968369633,0.00011422531679272652,0.0003961240581702441,0.7472069263458252
8,18.426401018142702,0,6.634204312890622e-05,0.6261437908496732,0.6935483870967742,0.49607843137254903,0.6261437908496732,0.6261437908496732,0.3836601307189542,0.058823529411764705,0.6261437908496732,,0.8283778366561481,0.0002896892256103456,2.736293026828207e-05,0.0033493000082671642,0.7752057909965515
9,18.42466702079773,0,6.30249409724609e-05,0.6039215686274509,0.6935483870967742,0.49607843137254903,0.6039215686274509,0.6039215686274509,0.42810457516339867,0.058823529411764705,0.6039215686274509,,0.7131521168668025,0.000882685708347708,1.342573705187533e-05,0.0012792858760803938,0.7415501475334167
10,18.423646144866943,0,5.987369392383786e-05,0.615686274509804,0.7096774193548387,0.5254901960784314,0.615686274509804,0.615686274509804,0.3503267973856209,0.11764705882352941,0.615686274509804,,0.8364177021289613,0.00015903003804851323,4.185420402791351e-05,0.0020162672735750675,0.7689111828804016
11,18.42399207878113,0,5.688000922764596e-05,0.6326797385620915,0.7580645161290323,0.6137254901960785,0.6326797385620915,0.6326797385620915,0.41699346405228754,0.29411764705882354,0.6326797385620915,,0.7564374914399148,0.00012582849012687802,3.1454583222512156e-05,9.022287849802524e-05,0.7417842745780945
12,18.420191719055175,0,5.4036008766263664e-05,0.5555555555555556,0.6935483870967742,0.49607843137254903,0.5555555555555556,0.5555555555555556,0.45751633986928103,0.058823529411764705,0.5555555555555556,,0.8266728266058576,0.00045609570224769413,2.2035257643437944e-05,0.003376380540430546,0.7893964052200317
13,18.42016515350342,0,5.133420832795048e-05,0.6366013071895426,0.6935483870967742,0.49607843137254903,0.6366013071895426,0.6366013071895426,0.361437908496732,0.058823529411764705,0.6366013071895426,,0.8700183677102687,0.000383865088224411,6.026664050295949e-05,0.0010475802700966597,0.812584400177002
14,18.41758469390869,0,4.876749791155295e-05,0.6130718954248366,0.7096774193548387,0.5254901960784314,0.6130718954248366,0.6130718954248366,0.42810457516339867,0.11764705882352941,0.6130718954248366,,0.7718853810076686,0.0008390099392272532,3.119885514024645e-05,0.00034624585532583296,0.7611976861953735
15,18.41948933982849,0,4.6329123015975305e-05,0.6444444444444445,0.7580645161290323,0.6137254901960785,0.6444444444444445,0.6444444444444445,0.4392156862745098,0.29411764705882354,0.6444444444444445,,0.8846984516213596,0.0003216179320588708,7.066626130836084e-05,0.0003785768640227616,0.7897099256515503
16,18.417570625305174,0,4.4012666865176535e-05,0.6405228758169935,0.7580645161290323,0.6137254901960785,0.6405228758169935,0.6405228758169935,0.365359477124183,0.17647058823529413,0.6405228758169935,,0.7640159066257556,0.0009136789594776928,4.837527376366779e-05,6.148419925011694e-05,0.7340205907821655
17,18.41988307762146,0,4.181203352191771e-05,0.6483660130718955,0.7580645161290323,0.6137254901960785,0.6483660130718955,0.6483660130718955,0.40588235294117647,0.11764705882352941,0.6483660130718955,,1.0061109233392223,0.00018617403111420572,0.0001345983473584056,0.0009851288050413132,0.8277963995933533
18,18.415674364089966,0,3.972143184582182e-05,0.6627450980392157,0.6935483870967742,0.49607843137254903,0.6627450980392157,0.6627450980392157,0.35424836601307186,0.058823529411764705,0.6627450980392157,,1.1133597860917988,0.0009921204764395952,0.0001264150341739878,0.014438009820878506,0.9222972393035889
19,18.41639040184021,0,3.7735360253530726e-05,0.6209150326797386,0.7258064516129032,0.5549019607843138,0.6209150326797386,0.6209150326797386,0.361437908496732,0.17647058823529413,0.6209150326797386,,0.9281679576132614,0.0009806187590584159,0.00010936648322967812,0.0038392392452806234,0.8639285564422607
