epoch,train_loss,skipped_training_clips,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean,stage1_saturated,stage2_saturated,stage3_saturated,stage3_output_std
1,2.159274422189377,1,9.5e-05,0.5620915032679739,0.6935483870967742,0.49607843137254903,0.5620915032679739,0.5620915032679739,0.40588235294117647,0.058823529411764705,,,,,,,
2,1.2074510148025408,1,9.025e-05,0.865359477124183,0.8225806451612904,0.7313725490196079,0.865359477124183,0.865359477124183,0.19934640522875818,0.5294117647058824,,,,,,,
3,1.31191805563589,1,8.573749999999999e-05,0.665359477124183,0.6935483870967742,0.49607843137254903,0.665359477124183,0.665359477124183,0.41699346405228754,0.058823529411764705,,,,,,,
4,1.2538820638381876,0,8.145062499999998e-05,0.5686274509803921,0.7096774193548387,0.5254901960784314,0.5686274509803921,0.5686274509803921,0.34705882352941175,0.11764705882352941,,,,,,,
5,1.282572624225509,1,7.737809374999998e-05,0.4901960784313726,0.6774193548387096,0.4666666666666667,0.4901960784313726,0.4901960784313726,0.5535947712418301,0.0,,,,,,,
6,1.296347227712773,0,7.350918906249998e-05,0.4300653594771242,0.6774193548387096,0.4666666666666667,0.4300653594771242,0.4300653594771242,0.542483660130719,0.0,,,,,,,
7,1.3317464485753454,1,6.983372960937497e-05,0.35947712418300654,0.6774193548387096,0.4666666666666667,0.35947712418300654,0.35947712418300654,0.6235294117647059,0.0,,,,,,,
8,1.2867624354915979,0,6.634204312890622e-05,0.5477124183006536,0.6935483870967742,0.49607843137254903,0.5477124183006536,0.5477124183006536,0.45751633986928103,0.058823529411764705,,,,,,,
9,1.3417183341363599,0,6.30249409724609e-05,0.4392156862745098,0.6774193548387096,0.4666666666666667,0.4392156862745098,0.4392156862745098,0.542483660130719,0.0,,,,,,,
10,1.2470597891995725,1,5.987369392383786e-05,0.3594771241830066,0.6774193548387096,0.4666666666666667,0.3594771241830066,0.3594771241830066,0.5941176470588235,0.0,,,,,,,
11,1.3226978314718134,0,5.688000922764596e-05,0.3973856209150327,0.6774193548387096,0.4666666666666667,0.3973856209150327,0.3973856209150327,0.5941176470588235,0.0,,,,,,,
12,1.309822114926308,0,5.4036008766263664e-05,0.4013071895424837,0.6774193548387096,0.4666666666666667,0.4013071895424837,0.4013071895424837,0.6679738562091503,0.0,,,,,,,
13,1.2543507435888284,1,5.133420832795048e-05,0.33071895424836606,0.6774193548387096,0.4666666666666667,0.33071895424836606,0.33071895424836606,0.7124183006535947,0.0,,,,,,,
14,1.2947852899845858,0,4.876749791155295e-05,0.4,0.6774193548387096,0.4666666666666667,0.4,0.4,0.6274509803921569,0.0,,,,,,,
15,1.3241297095771123,0,4.6329123015975305e-05,0.36993464052287583,0.6935483870967742,0.49607843137254903,0.36993464052287583,0.36993464052287583,0.6790849673202615,0.058823529411764705,,,,,,,
16,1.2929724815363575,1,4.4012666865176535e-05,0.31764705882352945,0.6774193548387096,0.4666666666666667,0.31764705882352945,0.31764705882352945,0.6790849673202615,0.0,,,,,,,
17,1.2783976217510364,1,4.181203352191771e-05,0.3816993464052288,0.6774193548387096,0.4666666666666667,0.3816993464052288,0.3816993464052288,0.645751633986928,0.0,,,,,,,
18,1.2563424310713323,1,3.972143184582182e-05,0.3843137254901961,0.6935483870967742,0.49607843137254903,0.3843137254901961,0.3843137254901961,0.542483660130719,0.058823529411764705,,,,,,,
19,1.2492894730628061,0,3.7735360253530726e-05,0.338562091503268,0.6935483870967742,0.49607843137254903,0.338562091503268,0.338562091503268,0.7013071895424836,0.058823529411764705,,,,,,,
20,1.2784010124346423,0,3.584859224085419e-05,0.3084967320261438,0.6774193548387096,0.4666666666666667,0.3084967320261438,0.3084967320261438,0.6901960784313725,0.0,,,,,,,
21,1.2634300758463732,0,3.405616262881148e-05,0.3228758169934641,0.6774193548387096,0.4666666666666667,0.3228758169934641,0.3228758169934641,0.6901960784313725,0.0,,,,,,,
22,1.2064737127230338,1,3.2353354497370904e-05,0.3254901960784314,0.6774193548387096,0.4666666666666667,0.3254901960784314,0.3254901960784314,0.7084967320261437,0.0,,,,,,,
23,1.1901015534160306,1,3.0735686772502355e-05,0.3529411764705883,0.6935483870967742,0.49607843137254903,0.3529411764705883,0.3529411764705883,0.645751633986928,0.058823529411764705,,,,,,,
24,1.2380566244646178,0,2.9198902433877236e-05,0.31895424836601305,0.6935483870967742,0.49607843137254903,0.31895424836601305,0.31895424836601305,0.6568627450980391,0.058823529411764705,,,,,,,
25,1.1746314197841186,1,2.7738957312183373e-05,0.2718954248366013,0.6774193548387096,0.4666666666666667,0.2718954248366013,0.2718954248366013,0.6862745098039216,0.0,,,,,,,
26,1.2267448788822588,0,2.6352009446574204e-05,0.33071895424836606,0.6935483870967742,0.49607843137254903,0.33071895424836606,0.33071895424836606,0.634640522875817,0.058823529411764705,,,,,,,
27,1.1849520668267688,0,2.5034408974245492e-05,0.35555555555555557,0.6935483870967742,0.49607843137254903,0.35555555555555557,0.35555555555555557,0.645751633986928,0.058823529411764705,,,,,,,
28,1.1901080007872449,0,2.3782688525533216e-05,0.334640522875817,0.6935483870967742,0.49607843137254903,0.334640522875817,0.334640522875817,0.645751633986928,0.058823529411764705,,,,,,,
29,1.1613587580159044,1,2.2593554099256555e-05,0.3202614379084967,0.6935483870967742,0.49607843137254903,0.3202614379084967,0.3202614379084967,0.6568627450980391,0.058823529411764705,,,,,,,
30,1.189818572671529,1,2.1463876394293726e-05,0.3202614379084967,0.6935483870967742,0.49607843137254903,0.3202614379084967,0.3202614379084967,0.6568627450980391,0.058823529411764705,,,,,,,
31,1.1546774512191242,1,2.039068257457904e-05,0.3176470588235294,0.6774193548387096,0.4666666666666667,0.3176470588235294,0.3176470588235294,0.634640522875817,0.0,,,,,,,
32,1.2193483182636389,1,1.9371148445850086e-05,0.334640522875817,0.6935483870967742,0.49607843137254903,0.334640522875817,0.334640522875817,0.6568627450980391,0.058823529411764705,,,,,,,
33,1.1368780717221485,0,1.840259102355758e-05,0.30065359477124187,0.6935483870967742,0.49607843137254903,0.30065359477124187,0.30065359477124187,0.6568627450980391,0.058823529411764705,,,,,,,
34,1.167481848097162,0,1.74824614723797e-05,0.29411764705882354,0.6935483870967742,0.49607843137254903,0.29411764705882354,0.29411764705882354,0.5718954248366013,0.058823529411764705,,,,,,,
35,1.1207637260552448,1,1.6608338398760715e-05,0.33986928104575165,0.6935483870967742,0.49607843137254903,0.33986928104575165,0.33986928104575165,0.5830065359477123,0.058823529411764705,,,,,,,
36,1.1626973477303533,1,1.5777921478822678e-05,0.3581699346405228,0.6935483870967742,0.49607843137254903,0.3581699346405228,0.3581699346405228,0.5941176470588235,0.058823529411764705,,,,,,,
37,1.1573901772958146,1,1.4989025404881544e-05,0.34509803921568627,0.6935483870967742,0.49607843137254903,0.34509803921568627,0.34509803921568627,0.5830065359477123,0.058823529411764705,,,,,,,
38,1.1675182728640943,1,1.4239574134637466e-05,0.338562091503268,0.6935483870967742,0.49607843137254903,0.338562091503268,0.338562091503268,0.5941176470588235,0.058823529411764705,,,,,,,
39,1.1535287917019894,1,1.3527595427905592e-05,0.35032679738562095,0.6935483870967742,0.49607843137254903,0.35032679738562095,0.35032679738562095,0.6235294117647059,0.058823529411764705,,,,,,,
40,1.107408388971087,0,1.2851215656510312e-05,0.31764705882352945,0.6935483870967742,0.49607843137254903,0.31764705882352945,0.31764705882352945,0.5607843137254902,0.058823529411764705,,,,,,,
41,1.1119676644562995,0,1.2208654873684796e-05,0.34509803921568627,0.6935483870967742,0.49607843137254903,0.34509803921568627,0.34509803921568627,0.5830065359477123,0.058823529411764705,,,,,,,
42,1.15688961721534,0,1.1598222130000555e-05,0.338562091503268,0.6935483870967742,0.49607843137254903,0.338562091503268,0.338562091503268,0.5941176470588235,0.058823529411764705,,,,,,,
43,1.1062783219390684,1,1.1018311023500527e-05,0.3124183006535948,0.6935483870967742,0.49607843137254903,0.3124183006535948,0.3124183006535948,0.645751633986928,0.058823529411764705,,,,,,,
44,1.126833419722592,1,1.04673954723255e-05,0.34248366013071896,0.6935483870967742,0.49607843137254903,0.34248366013071896,0.34248366013071896,0.645751633986928,0.058823529411764705,,,,,,,
45,1.1025483520577655,0,9.944025698709225e-06,0.3503267973856209,0.6935483870967742,0.49607843137254903,0.3503267973856209,0.3503267973856209,0.6052287581699347,0.058823529411764705,,,,,,,
46,1.150526410801318,1,9.446824413773763e-06,0.34901960784313724,0.6774193548387096,0.4666666666666667,0.34901960784313724,0.34901960784313724,0.5830065359477123,0.0,,,,,,,
47,1.079060497469011,0,8.974483193085074e-06,0.32418300653594767,0.6774193548387096,0.4666666666666667,0.32418300653594767,0.32418300653594767,0.645751633986928,0.0,,,,,,,
48,1.0887865496033633,0,8.52575903343082e-06,0.3241830065359477,0.6774193548387096,0.4666666666666667,0.3241830065359477,0.3241830065359477,0.634640522875817,0.0,,,,,,,
49,1.1215593614766892,1,8.09947108175928e-06,0.3620915032679739,0.6774193548387096,0.4666666666666667,0.3620915032679739,0.3620915032679739,0.5202614379084967,0.0,,,,,,,
50,1.0808322238575223,0,7.694497527671315e-06,0.3712418300653595,0.6935483870967742,0.49607843137254903,0.3712418300653595,0.3712418300653595,0.5830065359477123,0.058823529411764705,,,,,,,
51,1.1017856019310888,1,7.309772651287749e-06,0.34901960784313724,0.6935483870967742,0.49607843137254903,0.34901960784313724,0.34901960784313724,0.6679738562091503,0.058823529411764705,,,,,,,
52,1.152817283109223,0,6.944284018723361e-06,0.3647058823529412,0.6935483870967742,0.49607843137254903,0.3647058823529412,0.3647058823529412,0.5830065359477123,0.058823529411764705,,,,,,,
53,1.123238914309245,0,6.597069817787193e-06,0.35032679738562095,0.6935483870967742,0.49607843137254903,0.35032679738562095,0.35032679738562095,0.634640522875817,0.058823529411764705,,,,,,,
54,1.0947291570331181,1,6.267216326897833e-06,0.34509803921568627,0.6935483870967742,0.49607843137254903,0.34509803921568627,0.34509803921568627,0.634640522875817,0.058823529411764705,,,,,,,
