run,epochs_completed,git_revision,final_train_loss,min_train_loss,last20_train_loss,best_val_metric,best_epoch,mean_val_metric,final_val_metric,datasets,data.frame_mode,data.face_crop,data.face_margin,data.crop_padding,data.decimate_step,data.clip_length,data.train_samples_per_dataset_per_epoch,data.align_landmarks,model.activation,model.norm,model.spatial_pool_type,model.spatial_output_size,model.feature_dim,model.hidden_dim,model.conv_channels,model.input_resize,model.center_crop,train.objective,train.optimizer,train.learning_rate,train.lr_gamma,train.kl_weight,train.epochs,train.early_stopping_patience,model.init_extractor,model.freeze_extractor
run_3d_bcnn_t8_k3_combined_pretrain_896_celeb,60,9a8c98d,0.471129,0.447531,0.471491,0.831858,26,0.802199,0.818999,CelebDFv3,letterbox,True,0.25,,,8,1000,,,,,,15488,512,"[16, 24, 32]",256,224,,,3e-05,0.95,0.001,60,8,,
run_3d_bcnn_t8_k3_combined_pretrain_896_dfd,60,9a8c98d,0.672993,0.664187,0.670675,0.589107,8,0.483115,0.480174,DFD,letterbox,True,0.25,,,8,1000,,,,,,15488,512,"[16, 24, 32]",256,224,,,3e-05,0.95,0.001,60,8,,
run_celeb_supervised_3d_t8_k3_N_celeb_gen_subset,17,9a8c98d,0.275585,0.247601,0.80125,0.662058,17,0.598606,0.662058,CelebDFv3,,True,0.25,,,8,100,,,,,,15488,512,"[16, 24, 32]",256,224,supervised,adam,0.0001,0.95,1e-06,30,8,,
run_celeb_supervised_3d_t8_k3_p1_lr1e4,17,9a8c98d,1.223937,1.223937,1.306834,0.661544,3,0.608068,0.612373,CelebDFv3+DFD,,True,0.75,replicate,,8,613,,relu,batch,avg,22,15488,512,"[16, 24, 32]",256,224,supervised,,0.0001,0.95,0.001,30,8,,
run_celeb_supervised_3d_t8_k3_p1_lr1e4_dfd,30,9a8c98d,0.955561,0.951018,1.036745,0.701103,14,0.655154,0.670389,CelebDFv3,,True,0.75,replicate,,8,613,,relu,batch,avg,22,15488,512,"[16, 24, 32]",256,224,supervised,,3e-05,0.95,0.001,30,8,,
run_celeb_supervised_3d_t8_k3_p1_pretrain,26,9a8c98d,0.590408,0.590408,0.636348,0.817288,22,0.768098,0.784619,CelebDFv3+DFD,letterbox,True,0.25,,,8,613,,relu,batch,avg,22,15488,512,"[16, 24, 32]",256,224,supervised,,3e-05,0.95,0.001,60,8,,
run_celeb_supervised_3d_t8_k3_v10_kl,60,9a8c98d,0.850637,0.850637,0.942876,0.747476,40,0.713668,0.719061,CelebDFv3,,True,0.25,,,8,613,,relu,batch,avg,22,15488,512,"[16, 24, 32]",256,224,supervised,adam,3e-05,0.95,2e-05,60,999,,
run_celeb_supervised_3d_t8_k3_v11_id20,60,9a8c98d,0.647182,0.647182,0.723863,0.75,54,0.705468,0.733977,CelebDFv3,,True,0.25,,,8,613,,relu,batch,avg,22,15488,512,"[16, 24, 32]",256,224,supervised,adam,3e-05,0.95,6e-06,60,999,,
run_celeb_supervised_3d_t8_k3_v12_nocrop,60,9a8c98d,0.609192,0.587971,0.621933,0.770344,4,0.721193,0.711093,CelebDFv3,,False,0.25,,,8,613,,relu,batch,avg,22,15488,512,"[16, 24, 32]",256,224,supervised,adam,3e-05,0.95,6e-06,60,999,,
run_celeb_supervised_3d_t8_k3_v15_resmatch,55,9a8c98d,0.656509,0.656509,0.757329,0.731333,12,0.690968,0.678512,CelebDFv3,,True,0.25,,,8,613,,relu,batch,avg,22,15488,512,"[16, 24, 32]",256,224,supervised,adam,3e-05,0.95,6e-06,60,999,,
