detector,mode,dataset,class_name,shape,method,path,frames,detected,clips,clips_complete,clips_empty,box_width_px,clip_jitter,seconds_per_frame
haar,train,CelebDFv3,fake,square,TalkingFace/FLOAT,FAKE/TalkingFace/FLOAT/id50_0009_test_id01822_taZoHZYN5-E.mp4,32,32,4,4,0,292.0,0.013416163717792423,0.01674022525548935
mtcnn,train,CelebDFv3,fake,square,TalkingFace/FLOAT,FAKE/TalkingFace/FLOAT/id50_0009_test_id01822_taZoHZYN5-E.mp4,32,32,4,4,0,240.0,0.010766749950475303,0.06343594193458557
retinaface,train,CelebDFv3,fake,square,TalkingFace/FLOAT,FAKE/TalkingFace/FLOAT/id50_0009_test_id01822_taZoHZYN5-E.mp4,32,32,4,4,0,234.0,0.009434497177057796,0.026429474353790283
haar,train,CelebDFv3,fake,square,FaceSwap/MobileFaceSwap,FAKE/FaceSwap/MobileFaceSwap/id2_id1_0002.mp4,32,32,4,4,0,171.25,0.004108571529723156,0.019053496420383453
mtcnn,train,CelebDFv3,fake,square,FaceSwap/MobileFaceSwap,FAKE/FaceSwap/MobileFaceSwap/id2_id1_0002.mp4,32,32,4,4,0,144.25,0.00587833731311138,0.02451227605342865
retinaface,train,CelebDFv3,fake,square,FaceSwap/MobileFaceSwap,FAKE/FaceSwap/MobileFaceSwap/id2_id1_0002.mp4,32,32,4,4,0,146.0,0.004811098174390277,0.028193548321723938
haar,train,CelebDFv3,fake,square,TalkingFace/FLOAT,FAKE/TalkingFace/FLOAT/id52_0007_test_id03524_QceiuT-p3rU.mp4,32,32,4,4,0,267.0,0.012053952662570394,0.009754300117492676
mtcnn,train,CelebDFv3,fake,square,TalkingFace/FLOAT,FAKE/TalkingFace/FLOAT/id52_0007_test_id03524_QceiuT-p3rU.mp4,32,32,4,4,0,237.25,0.014383636557301734,0.006010860204696655
retinaface,train,CelebDFv3,fake,square,TalkingFace/FLOAT,FAKE/TalkingFace/FLOAT/id52_0007_test_id03524_QceiuT-p3rU.mp4,32,32,4,4,0,235.5,0.010163744844034345,0.02463103085756302
haar,train,CelebDFv3,fake,square,TalkingFace/Real3DPortrait,FAKE/TalkingFace/Real3DPortrait/id4_0004_test_id03862_YQMdTzyG-P8.mp4,32,32,4,4,0,258.0,0.007130425131776946,0.010423228144645691
mtcnn,train,CelebDFv3,fake,square,TalkingFace/Real3DPortrait,FAKE/TalkingFace/Real3DPortrait/id4_0004_test_id03862_YQMdTzyG-P8.mp4,32,32,4,4,0,203.25,0.008003892279694112,0.00684405118227005
retinaface,train,CelebDFv3,fake,square,TalkingFace/Real3DPortrait,FAKE/TalkingFace/Real3DPortrait/id4_0004_test_id03862_YQMdTzyG-P8.mp4,32,32,4,4,0,193.0,0.006400205951513371,0.024953767657279968
haar,train,CelebDFv3,fake,square,TalkingFace/EDTalk,FAKE/TalkingFace/EDTalk/id24_0005_test_id04094_rKFO0TtoCUU.mp4,32,32,4,4,0,158.75,0.010984341617043265,0.008610866963863373
mtcnn,train,CelebDFv3,fake,square,TalkingFace/EDTalk,FAKE/TalkingFace/EDTalk/id24_0005_test_id04094_rKFO0TtoCUU.mp4,32,32,4,4,0,125.0,0.012948466123151356,0.0052027627825737
retinaface,train,CelebDFv3,fake,square,TalkingFace/EDTalk,FAKE/TalkingFace/EDTalk/id24_0005_test_id04094_rKFO0TtoCUU.mp4,32,32,4,4,0,127.25,0.00845371921286931,0.015767134726047516
haar,train,CelebDFv3,fake,square,FaceReenact/HyperReenact,FAKE/FaceReenact/HyperReenact/id6_id16_0008.mp4,32,32,4,4,0,158.0,0.011769541831029991,0.007304161787033081
mtcnn,train,CelebDFv3,fake,square,FaceReenact/HyperReenact,FAKE/FaceReenact/HyperReenact/id6_id16_0008.mp4,32,32,4,4,0,117.5,0.0071700070989920844,0.004233986139297485
retinaface,train,CelebDFv3,fake,square,FaceReenact/HyperReenact,FAKE/FaceReenact/HyperReenact/id6_id16_0008.mp4,32,32,4,4,0,127.5,0.0059875827450167046,0.016471780836582184
haar,train,CelebDFv3,fake,square,FaceReenact/LivePortrait,FAKE/FaceReenact/LivePortrait/id3_id20_0006.mp4,32,32,4,4,0,158.0,0.003661479886359382,0.013996995985507965
mtcnn,train,CelebDFv3,fake,square,FaceReenact/LivePortrait,FAKE/FaceReenact/LivePortrait/id3_id20_0006.mp4,32,32,4,4,0,123.5,0.0035173184630255556,0.009124018251895905
retinaface,train,CelebDFv3,fake,square,FaceReenact/LivePortrait,FAKE/FaceReenact/LivePortrait/id3_id20_0006.mp4,32,32,4,4,0,126.25,0.0039009738776902246,0.025818392634391785
