dataset,width,height,resolution,video_count
CelebDFv3,256,256,256x256,23059
CelebDFv3,512,512,512x512,8579
CelebDFv3,856,478,856x478,4258
CelebDFv3,850,472,850x472,2008
CelebDFv3,942,500,942x500,1744
CelebDFv3,848,466,848x466,1635
CelebDFv3,848,472,848x472,815
CelebDFv3,852,480,852x480,665
CelebDFv3,944,500,944x500,604
CelebDFv3,846,476,846x476,592
CelebDFv3,950,500,950x500,567
CelebDFv3,846,474,846x474,532
CelebDFv3,812,456,812x456,324
CelebDFv3,844,452,844x452,320
CelebDFv3,844,474,844x474,320
CelebDFv3,834,458,834x458,303
CelebDFv3,850,476,850x476,299
CelebDFv3,894,500,894x500,244
CelebDFv3,662,500,662x500,242
CelebDFv3,848,478,848x478,234
CelebDFv3,856,476,856x476,232
CelebDFv3,256,272,256x272,230
CelebDFv3,666,500,666x500,216
CelebDFv3,892,500,892x500,199
CelebDFv3,674,500,674x500,181
CelebDFv3,842,468,842x468,176
CelebDFv3,844,472,844x472,151
CelebDFv3,814,464,814x464,144
CelebDFv3,590,500,590x500,132
CelebDFv3,472,500,472x500,131
CelebDFv3,620,500,620x500,131
CelebDFv3,530,500,530x500,129
CelebDFv3,656,500,656x500,120
CelebDFv3,636,480,636x480,115
CelebDFv3,826,420,826x420,114
CelebDFv3,888,500,888x500,108
CelebDFv3,852,478,852x478,102
CelebDFv3,744,466,744x466,99
CelebDFv3,848,474,848x474,97
CelebDFv3,608,500,608x500,89
CelebDFv3,842,476,842x476,84
CelebDFv3,510,500,510x500,82
CelebDFv3,556,500,556x500,81
CelebDFv3,588,500,588x500,81
CelebDFv3,632,500,632x500,81
CelebDFv3,638,500,638x500,81
CelebDFv3,256,240,256x240,80
CelebDFv3,670,500,670x500,75
CelebDFv3,684,500,684x500,75
CelebDFv3,488,500,488x500,74
CelebDFv3,568,500,568x500,74
CelebDFv3,672,500,672x500,74
CelebDFv3,848,480,848x480,74
CelebDFv3,354,500,354x500,73
CelebDFv3,610,298,610x298,69
CelebDFv3,676,500,676x500,67
CelebDFv3,490,500,490x500,66
CelebDFv3,528,500,528x500,66
CelebDFv3,532,500,532x500,66
CelebDFv3,650,500,650x500,66
CelebDFv3,572,500,572x500,65
CelebDFv3,694,456,694x456,60
CelebDFv3,348,500,348x500,58
CelebDFv3,826,474,826x474,58
CelebDFv3,492,500,492x500,57
CelebDFv3,514,500,514x500,57
CelebDFv3,884,498,884x498,57
CelebDFv3,616,500,616x500,56
CelebDFv3,840,470,840x470,52
CelebDFv3,440,390,440x390,50
CelebDFv3,478,500,478x500,49
CelebDFv3,612,440,612x440,49
CelebDFv3,840,406,840x406,49
CelebDFv3,474,500,474x500,48
CelebDFv3,750,438,750x438,47
CelebDFv3,540,456,540x456,42
CelebDFv3,554,500,554x500,42
CelebDFv3,626,500,626x500,42
CelebDFv3,830,470,830x470,42
CelebDFv3,430,500,430x500,41
CelebDFv3,518,498,518x498,41
CelebDFv3,640,500,640x500,41
CelebDFv3,668,500,668x500,41
CelebDFv3,846,478,846x478,41
CelebDFv3,856,432,856x432,41
CelebDFv3,498,500,498x500,40
CelebDFv3,742,500,742x500,39
CelebDFv3,952,500,952x500,38
CelebDFv3,476,482,476x482,36
CelebDFv3,342,468,342x468,34
CelebDFv3,418,466,418x466,34
CelebDFv3,424,384,424x384,34
CelebDFv3,426,448,426x448,34
CelebDFv3,438,480,438x480,34
CelebDFv3,610,500,610x500,34
CelebDFv3,524,500,524x500,33
CelebDFv3,748,500,748x500,32
CelebDFv3,802,436,802x436,32
CelebDFv3,956,500,956x500,32
CelebDFv3,846,480,846x480,31
CelebDFv3,574,500,574x500,27
CelebDFv3,286,300,286x300,26
CelebDFv3,470,472,470x472,26
CelebDFv3,582,500,582x500,25
CelebDFv3,822,458,822x458,25
CelebDFv3,836,470,836x470,25
CelebDFv3,526,474,526x474,24
CelebDFv3,754,500,754x500,22
CelebDFv3,544,500,544x500,21
CelebDFv3,612,500,612x500,21
CelebDFv3,962,500,962x500,19
CelebDFv3,564,470,564x470,18
CelebDFv3,432,500,432x500,17
CelebDFv3,456,500,456x500,17
CelebDFv3,480,500,480x500,17
CelebDFv3,494,500,494x500,17
CelebDFv3,518,500,518x500,17
CelebDFv3,642,500,642x500,17
CelebDFv3,836,474,836x474,17
CelebDFv3,974,500,974x500,17
CelebDFv3,584,500,584x500,16
CelebDFv3,634,500,634x500,16
CelebDFv3,544,468,544x468,15
CelebDFv3,884,500,884x500,15
CelebDFv3,922,500,922x500,15
CelebDFv3,526,500,526x500,13
CelebDFv3,948,500,948x500,13
CelebDFv3,958,500,958x500,12
CelebDFv3,782,440,782x440,11
CelebDFv3,954,500,954x500,11
CelebDFv3,256,224,256x224,10
CelebDFv3,450,500,450x500,10
CelebDFv3,966,500,966x500,10
CelebDFv3,256,208,256x208,5
CelebDFv3,844,470,844x470,5
CelebDFv3,964,500,964x500,4
CelebDFv3,818,456,818x456,3
CelebDFv3,486,480,486x480,2
CelebDFv3,776,500,776x500,2
CelebDFv3,814,428,814x428,2
CelebDFv3,938,500,938x500,2
CelebDFv3,960,500,960x500,2
CelebDFv3,654,500,654x500,1
CelebDFv3,658,500,658x500,1
CelebDFv3,704,500,704x500,1
CelebDFv3,714,500,714x500,1
CelebDFv3,900,496,900x496,1
DFD-Kaggle,1920,1080,1920x1080,3431
