dataset,relative_path,width,height,resolution,frame_count,fps,duration_seconds,file_size_bytes,file_size_mb,status,error
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id16_0001.mp4,256,256,256x256,315,30.0,10.5,120846,0.115,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id16_0003.mp4,256,256,256x256,302,30.0,10.067,118601,0.113,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id16_0004.mp4,256,256,256x256,259,30.0,8.633,124284,0.119,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id17_0000.mp4,256,256,256x256,304,30.0,10.133,65788,0.063,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id17_0003.mp4,256,256,256x256,246,30.0,8.2,72099,0.069,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id17_0006.mp4,256,256,256x256,200,30.0,6.667,94538,0.09,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id17_0009.mp4,256,256,256x256,297,30.0,9.9,78921,0.075,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id1_0001.mp4,256,256,256x256,271,30.0,9.033,84461,0.081,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id1_0009.mp4,256,256,256x256,411,30.0,13.7,128187,0.122,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id20_0001.mp4,256,256,256x256,283,30.0,9.433,98801,0.094,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id20_0009.mp4,256,256,256x256,333,30.0,11.1,93104,0.089,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id21_0001.mp4,256,256,256x256,252,30.0,8.4,80672,0.077,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id21_0002.mp4,256,256,256x256,252,30.0,8.4,87363,0.083,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id21_0003.mp4,256,256,256x256,172,30.0,5.733,97554,0.093,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id21_0006.mp4,256,256,256x256,358,30.0,11.933,111404,0.106,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id21_0007.mp4,256,256,256x256,144,30.0,4.8,38423,0.037,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id23_0004.mp4,256,256,256x256,123,30.0,4.1,82086,0.078,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id23_0009.mp4,256,256,256x256,315,30.0,10.5,70788,0.068,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id26_0001.mp4,256,256,256x256,139,30.0,4.633,58799,0.056,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id26_0007.mp4,256,256,256x256,282,30.0,9.4,99239,0.095,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id26_0009.mp4,256,256,256x256,255,30.0,8.5,84282,0.08,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id28_0000.mp4,256,256,256x256,183,30.0,6.1,56136,0.054,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id28_0001.mp4,256,256,256x256,332,30.0,11.067,83318,0.079,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id28_0002.mp4,256,256,256x256,176,30.0,5.867,68383,0.065,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id28_0004.mp4,256,256,256x256,310,30.0,10.333,115093,0.11,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id28_0009.mp4,256,256,256x256,330,30.0,11.0,65067,0.062,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id2_0001.mp4,256,256,256x256,375,30.0,12.5,79494,0.076,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id2_0004.mp4,256,256,256x256,424,30.0,14.133,181590,0.173,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id2_0005.mp4,256,256,256x256,306,30.0,10.2,91990,0.088,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id3_0001.mp4,256,256,256x256,379,30.0,12.633,123579,0.118,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id3_0002.mp4,256,256,256x256,427,30.0,14.233,208817,0.199,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id3_0009.mp4,256,256,256x256,496,30.0,16.533,115692,0.11,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id4_0006.mp4,256,256,256x256,303,30.0,10.1,171235,0.163,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id6_0001.mp4,256,256,256x256,314,30.0,10.467,102899,0.098,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id6_0007.mp4,256,256,256x256,556,30.0,18.533,223480,0.213,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id6_0009.mp4,256,256,256x256,529,30.0,17.633,128262,0.122,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id9_0002.mp4,256,256,256x256,230,30.0,7.667,81215,0.077,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id9_0006.mp4,256,256,256x256,400,30.0,13.333,184634,0.176,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id9_0007.mp4,256,256,256x256,429,30.0,14.3,140686,0.134,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id9_0008.mp4,256,256,256x256,450,30.0,15.0,279215,0.266,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id0_id9_0009.mp4,256,256,256x256,290,30.0,9.667,85764,0.082,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id10_id11_0002.mp4,256,256,256x256,356,30.0,11.867,141395,0.135,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id10_id11_0003.mp4,256,256,256x256,312,30.0,10.4,112390,0.107,ok,
CelebDFv3,CelebDFv3\FAKE\FaceReenact\DaGAN\id10_id11_0006.mp4,256,256,256x256,315,30.0,10.5,105530,0.101,ok,
